carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz E 63 AMG S 4M AIRMATIC WEBASTO MATTLACK 360° KAM,79.499 € (Brutto),21.548 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,05/2018,5,4/5,Euro6,Limousine,1,-1
Mercedes-Benz 1999 SL 600 R129 - prominenter Vorbesitz,75.000 €,83.000 km,-1,294 kW (400 PS),Benzin,Automatik,-1,07/1999,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz Mercedes GTS AMG,76.965 €,38.600 km,-1,375 kW (510 PS),Benzin,Automatik,-1,05/2016,-1,-1,-1,Sportwagen / Coupé,-1,-1
"Mercedes-Benz GLE 450 4M AMG,Pano,Distr.,HUD,Sitzklima,Burm.,",78.929 € (Brutto),18.950 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,12/2019,5,4/5,Euro6d-TEMP,"SUV / Geländewagen / Pickup, Jahreswagen",1,Unfallfrei
Mercedes-Benz GLC 63 4M Coupé AMG Night Carbon Burm SD AHK 360,77.863 € (Brutto),7.693 km,3.982 cm³,350 kW (476 PS),"Benzin, E10-geeignet",Automatik,2019,08/2019,5,4/5,Euro6d-TEMP,Sportwagen / Coupé,1,-1
Mercedes-Benz V 300 d L AMG Exclusiv Luxus Sitze Standhzg,76.837 € (Brutto),9.823 km,1.950 cm³,176 kW (239 PS),Diesel,Automatik,2019,11/2019,6,4/5,Euro6d-TEMP,"Van / Minibus, Jahreswagen",1,Unfallfrei
Mercedes-Benz EQV 300 AVANTGARDE 360° Kamera Burmester MBUX,83.990 € (Brutto),3.000 km,-1,150 kW (204 PS),Elektro,Schaltgetriebe,-1,11/2020,7,4/5,-1,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLS63 AMG*NIGHT*PANO*TV*B&O*STANDHZ*AHK*V/MAX*,79.800 € (Brutto),54.000 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,03/2018,7,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz G350 d **EXCLUSIV**SPORTPAKET**STANDHZG**,78.500 € (Brutto),29.000 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,-1,05/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz GLE 450 4M AMG+360+HUD+AIRMATIC+AHK+DISTRONIC,84.500 € (Brutto),2.999 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,10/2020,5,4/5,Euro6d-TEMP,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz Mercedes AMG GTS Junge Sterne Garantie,82.500 €,17.000 km,-1,375 kW (510 PS),Benzin,Automatik,-1,04/2016,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz E 63 AMG Mercedes-AMG E 63 S 4MATIC+ Autom.,79.999 € (Brutto),38.000 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,11/2019,5,4/5,Euro6c,Limousine,1,Unfallfrei
Mercedes-Benz Mercedes-Benz-AMG S 63 Lang 4 Matic 1.Hand...,79.990 €,24.674 km,-1,430 kW (585 PS),Benzin,Automatik,-1,01/2015,-1,-1,-1,Limousine,-1,-1
