carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz Mercedes vaneo mit 2 jahre tüv tausch möglich,1.900 €,278.000 km,-1,67 kW (91 PS),Diesel,Schaltgetriebe,-1,02/2004,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz Mercedes-Benz A 170 Autotronic Avantgarde,...",1.500 €,390.000 km,-1,85 kW (116 PS),Benzin,Automatik,-1,10/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes A140 Elegance Piccadilly,1.700 €,130.000 km,-1,-1,Benzin,Schaltgetriebe,-1,03/2005,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes-benz A160,1.550 €,154.079 km,-1,75 kW (102 PS),Benzin,Automatik,-1,07/2002,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz CLK Coupe 200 Elegance Automatik,1.200 €,175.000 km,1.998 cm³,100 kW (136 PS),Benzin,Automatik,-1,11/1998,4,2/3,-1,Sportwagen / Coupé,-1,Reparierter Unfallschaden
Mercedes-Benz Mercedes S Klasse W320,1.699 €,244.000 km,-1,165 kW (224 PS),Benzin,Automatik,-1,09/1999,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz c220 **TÜV** **KLIMA** **SHZ**,1.500 €,290.000 km,-1,110 kW (150 PS),Diesel,Schaltgetriebe,-1,05/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz A 200 Avantgarde TÜV/AU Neu,1.900 €,124.000 km,2.034 cm³,100 kW (136 PS),Benzin,Schaltgetriebe,-1,12/2005,5,2/3,Euro4,Limousine,3,Unfallfrei
Mercedes-Benz Mercedes c 200,1.800 €,225.252 km,-1,120 kW (163 PS),Benzin,Schaltgetriebe,-1,09/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes w210 220CDI,1.990 €,192.000 km,-1,104 kW (141 PS),Diesel,Automatik,-1,08/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz MERCEDES E KLASSE w211 E 220,1.950 €,211.000 km,-1,-1,Diesel,Schaltgetriebe,-1,08/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz Vaneo Compact Van 1.9 mit T...,1.650 €,152.560 km,-1,92 kW (125 PS),Benzin,Schaltgetriebe,-1,10/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz A Klasse,1.000 €,252.358 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,10/2001,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes A140 Benzin,1.100 €,228.221 km,-1,-1,Benzin,Schaltgetriebe,-1,10/2001,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes C200 CDI T- Modell AHK Kombi,1.900 €,271.000 km,-1,90 kW (122 PS),Diesel,Schaltgetriebe,-1,04/2006,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes E200 Kompressor W210 T Modell,1.700 €,230.000 km,-1,120 kW (163 PS),Benzin,Automatik,-1,05/2001,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Vito 110 CDI,1.999 €,280.000 km,2.148 cm³,75 kW (102 PS),Diesel,Schaltgetriebe,-1,01/2002,8,4/5,-1,Van / Minibus,-1,-1
Mercedes-Benz Genau lesen !!! Tausch gegen Mercedes ML a...,1.750 €,374.000 km,-1,85 kW (116 PS),Diesel,Schaltgetriebe,-1,12/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Vito 110 CDI 8 Sitze 8-fach bereift,1.999 €,280.000 km,-1,75 kW (102 PS),-1,Schaltgetriebe,-1,01/2002,-1,-1,-1,Andere,-1,-1
Mercedes-Benz A 140 Classic,1.999 €,140.000 km,1.397 cm³,60 kW (82 PS),Benzin,Automatik,-1,01/1999,5,4/5,Euro4,Limousine,3,Unfallfrei
Mercedes-Benz Mercedes A160,1.200 €,223.000 km,-1,75 kW (102 PS),Benzin,Schaltgetriebe,-1,11/2000,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes Benz A 170 CDI,1.100 €,177.279 km,-1,-1,Diesel,Automatik,-1,12/2002,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes E 270 Cdi,1.300 €,232.000 km,-1,125 kW (170 PS),Diesel,-1,-1,12/2003,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz Mercedes C- Klasse 220. CDI Automatik , TÜ...",1.199 €,266.000 km,-1,-1,Diesel,Automatik,-1,10/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz A 140,1.790 €,137.000 km,1.391 cm³,60 kW (82 PS),Benzin,Schaltgetriebe,-1,11/2000,5,4/5,Euro4,Limousine,-1,-1
Mercedes-Benz C 200 CDI Sportcoupe,1.800 €,251.000 km,2.148 cm³,90 kW (122 PS),Diesel,Schaltgetriebe,2005,02/2005,4,2/3,Euro4,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes clk 320i,2.000 €,260.000 km,-1,160 kW (218 PS),Benzin,Automatik,-1,07/1999,-1,-1,-1,Sportwagen / Coupé,-1,-1
"Mercedes-Benz Mercedes E220 CDI Avangat Inkl, 5 Motore...",2.000 €,350.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,05/2007,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes C180 Kompressor,1.600 €,305.000 km,-1,104 kW (141 PS),Benzin,Schaltgetriebe,-1,03/2003,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes C-Klasse,2.000 €,235.000 km,-1,105 kW (143 PS),Diesel,Automatik,-1,12/2003,-1,-1,-1,Kombi,-1,-1
"Mercedes-Benz Mercedes-Benz C220 CDI | 04/22 TÜV, Automa...",2.000 €,253.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,06/2004,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz A 160 benzin,1.990 €,181.000 km,-1,-1,Benzin,Schaltgetriebe,-1,04/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz a 160 elegance,1.400 €,148.000 km,-1,75 kW (102 PS),Benzin,Schaltgetriebe,-1,06/2003,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes Benz C200 CDI (MOTOR/GETRIEBE TOP),1.200 €,311.500 km,-1,-1,Diesel,Schaltgetriebe,-1,04/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz CDI 270,1.550 €,397.000 km,-1,125 kW (170 PS),Diesel,Schaltgetriebe,-1,03/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Zu zuverlässige sparsame A 160,1.599 €,216.000 km,-1,-1,Benzin,Schaltgetriebe,-1,04/1999,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Benz A 160 Benziner mit TÜV bis 07.2022,1.650 €,161.000 km,-1,75 kW (102 PS),Benzin,Automatik,-1,07/2004,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes A160 Langversion(selten!!) Wenige...,2.000 €,100.211 km,-1,74 kW (101 PS),Benzin,Schaltgetriebe,-1,04/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes A160 Langversion(selten!!) Wenige...,2.000 €,100.211 km,-1,74 kW (101 PS),Benzin,Schaltgetriebe,-1,04/2003,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz Mercedes Benz A150 W169, angemeldet",1.999 €,161.000 km,-1,70 kW (95 PS),Benzin,Schaltgetriebe,-1,10/2004,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes c200,1.850 €,147.000 km,-1,-1,Diesel,Schaltgetriebe,-1,11/2000,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes A160,1.900 €,140.619 km,-1,75 kW (102 PS),Benzin,Automatik,-1,06/2001,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes Benz E 200CDi zu verkaufen,1.950 €,177.600 km,-1,85 kW (116 PS),Diesel,Automatik,-1,06/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz UnfallSLK 230 KOMPRESSOR PS 197 Unf...,1.100 €,362.000 km,-1,145 kW (197 PS),Benzin,Schaltgetriebe,-1,01/1999,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz Mercedes-Benz C200 Coupé,1.650 €,195.000 km,-1,120 kW (163 PS),Benzin,Automatik,-1,03/2001,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes CLK 200 coupe mit anhängerkupplun...,1.300 €,232.880 km,-1,100 kW (136 PS),Benzin,Schaltgetriebe,-1,05/1999,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes Benz w203 TÜV2022,1.888 €,270.000 km,-1,95 kW (129 PS),Benzin,Automatik,-1,10/2001,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes-Benz E280 Avantgarde 2004,2.000 €,320.000 km,-1,130 kW (177 PS),Diesel,Automatik,-1,04/2004,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes A Classe,1.450 €,191.000 km,-1,60 kW (82 PS),Benzin,Schaltgetriebe,-1,07/2000,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz C 200 CDI Elegance,1.150 €,352.000 km,-1,90 kW (122 PS),Diesel,Schaltgetriebe,-1,09/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes E- 320 4-matic kombi 7 Sitzer,1.500 €,300.000 km,-1,-1,Benzin,Automatik,-1,12/1999,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Biete Gelben Sprinter -TÜV 03/21 - Erstzu...,1.900 €,252.764 km,-1,-1,-1,-1,-1,12/2002,-1,-1,-1,Andere,-1,-1
