carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz V 220 Marco Polo Edition 7GT+COM+Distr+AHK+LED,60.516 € (Brutto),7.200 km,2.143 cm³,120 kW (163 PS),Diesel,Automatik,-1,05/2019,4,4/5,-1,Van / Minibus,1,Unfallfrei
Mercedes-Benz AMG GLE 43 4M Comand Fahrassist. Pano.-Dach 360°,59.598 € (Brutto),59.500 km,2.996 cm³,287 kW (390 PS),Benzin,Automatik,-1,07/2019,5,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Vorführfahrzeug",2,Unfallfrei
Mercedes-Benz GLE 350 d AMG 4M Coupé Designo White LED BlueTec,57.555 € (Brutto),15.931 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,2019,05/2019,5,4/5,Euro6c,Sportwagen / Coupé,1,-1
Mercedes-Benz V 300d L AMG Sport Navi AHK Distr Standh Burmes,57.899 € (Brutto),17.500 km,1.950 cm³,176 kW (239 PS),Diesel,Automatik,-1,12/2019,-1,4/5,-1,"Van / Minibus, Jahreswagen",1,Unfallfrei
Mercedes-Benz E 450 4M Coupé AMG+PANO+MULTIB+COMAND+360+SOUND+,61.449 € (Brutto),4.000 km,2.996 cm³,270 kW (367 PS),Benzin,Automatik,-1,09/2020,4,2/3,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 300 d 4M AMG Multi Pano AHK Night Distr. Bur,61.399 € (Brutto),24.377 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,12/2019,5,4/5,Euro6d,"SUV / Geländewagen / Pickup, Jahreswagen",1,Unfallfrei
Mercedes-Benz SL 65 V12 612PS AMG Roadster ACC Panorama ABC,59.999 €,120.233 km,5.981 cm³,450 kW (612 PS),"Benzin, E10-geeignet",Automatik,2007,06/2007,2,2/3,Euro4,Cabrio / Roadster,-1,Unfallfrei
Mercedes-Benz V 250 d lang 4M Avantgarde Edition 360° Stdhzg,58.990 € (Brutto),29.196 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,-1,06/2019,7,4/5,Euro6c,Van / Minibus,2,Unfallfrei
Mercedes-Benz GLS 350 d 4M AMG COM.DISTR.ILS Standhz.Pano 360,60.372 € (Brutto),23.372 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,11/2018,7,4/5,Euro6c,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz E 220 d T Avantgarde WideScreen 360° Pano Distr,57.500 € (Brutto),8.500 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,12/2020,-1,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 220 d T Avantgarde WideScreen 360° Pano Distr,57.500 € (Brutto),8.500 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,12/2020,-1,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 200 T 4M AMG WideScreen LED Night Kamera PTS,56.600 € (Brutto),3.000 km,1.991 cm³,145 kW (197 PS),Benzin,Automatik,-1,12/2020,-1,4/5,Euro6d,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 220 d Sportstyle Edition AMG Fahrass 360°,61.900 € (Brutto),8.500 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,11/2020,-1,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 300 d 4M AMG Panoramadach akt. Parkassistent,58.980 € (Brutto),11.273 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,09/2019,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz GLE 350 d Cp. 4M AMG 360° Pano Harman COMAND,59.387 € (Brutto),33.224 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,04/2019,5,4/5,Euro6c,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz E 400 d 4M All Terrain Fahrassist Multibeam Head,56.412 € (Brutto),26.613 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,12/2019,5,4/5,Euro6d-TEMP,Kombi,1,Unfallfrei
Mercedes-Benz GLE 43 AMG 4MATIC 360°Kamera Panorama Distronic,56.000 €,25.475 km,2.996 cm³,287 kW (390 PS),Benzin,Automatik,-1,01/2018,5,4/5,-1,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLE 300 d 4M Panorama-Schiebedach AHK Volldigi*,58.550 € (Brutto),10.450 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,08/2019,5,4/5,-1,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz V250*Marco Polo*Küche*8x Ber.*Navi*Fahrradt.*AHK,55.900 €,58.500 km,2.179 cm³,140 kW (190 PS),Diesel,Automatik,-1,09/2016,4,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz SL 63 AMG/KeylessGO/Distronic/Magic Sky/Kamera/,58.900 €,109.000 km,5.461 cm³,395 kW (537 PS),Benzin,Automatik,-1,10/2012,2,2/3,Euro5,Cabrio / Roadster,-1,Unfallfrei
Mercedes-Benz GLE 63 AMG Coupé Night-Packet 22 Zoll AMG,58.900 €,123.000 km,-1,410 kW (557 PS),Benzin,Automatik,-1,11/2015,5,4/5,Euro6,SUV / Geländewagen / Pickup,2,-1
Mercedes-Benz C 63 S AMG T/Keramik/Panorama/Driver´s,58.980 €,15.347 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,2017,05/2017,5,4/5,Euro6,Kombi,2,Unfallfrei
Mercedes-Benz S 500 Coupe 4Matic AMG SWAROVSKI BURMESTER 360,59.900 € (Brutto),99.800 km,4.663 cm³,335 kW (455 PS),Benzin,Automatik,2015,06/2015,4,2/3,Euro6,Sportwagen / Coupé,2,-1
Mercedes-Benz Mercedes c63 Facelift,56.500 €,40.000 km,-1,350 kW (476 PS),Benzin,Automatik,-1,02/2019,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz GLS 350 d 4M AMG AIR COMAND SPUR ACC TOT STAND,55.712 € (Brutto),94.980 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,06/2017,7,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz C 63 AMG S T Keramik Driversp Perf-Abgas Pano,55.284 € (Brutto),34.575 km,3.982 cm³,375 kW (510 PS),"Benzin, E10-geeignet",Automatik,-1,08/2017,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz GLE 300 d 4M AMG WideScreen Distr. LED Kamera 9G,60.413 € (Brutto),18.260 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,11/2019,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz C 63 AMG S T Keramik Driversp Perf-Abgas Pano,55.284 € (Brutto),34.575 km,3.982 cm³,375 kW (510 PS),"Benzin, E10-geeignet",Automatik,-1,08/2017,5,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz C 63 T AMG PERFO.SITZE | BURMESTER | PANO | LED,60.900 €,26.997 km,3.982 cm³,350 kW (476 PS),Benzin,Automatik,2019,06/2019,5,4/5,Euro6,Kombi,-1,-1
Mercedes-Benz E 220 d T AVANTGARDE *Mopf* MBUX+360+Fahrass+AHK,59.999 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,11/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz C 300 de T AMG Night+Comand+RüKam+M-LED+Pano+18""",55.450 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,11/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 e 4M OFF-ROAD MBUX+RüKam+LED+Pano+AHK+19,58.749 € (Brutto),8.000 km,1.991 cm³,155 kW (211 PS),"Hybrid (Benzin/Elektro), Plug-in-Hybrid",Automatik,-1,11/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 400 d 4MATIC AMG-Line Comand/Rü.Ka/Burmester/,59.890 € (Brutto),16.300 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,04/2019,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz E 220 d AVANTGARDE *Mopf*+MBUX+360°+M-LED+Pano,55.765 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,09/2020,5,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 de 4M OFF-ROAD MBUX+RüKam+LED+AHK+Totwin,55.948 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,09/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 de 4M MBUX+RüKam+Multibe+Distr+Totwinkel,56.489 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,08/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 350d Cp. 4Matic*AMG*Pano*StHz*Distronic*360°,58.320 € (Brutto),40.990 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,01/2019,5,4/5,Euro6,Sportwagen / Coupé,1,-1
Mercedes-Benz E 220 d T AVANTGARDE *Mopf*MBUX+360+LED+Pano+AHK,58.231 € (Brutto),9.845 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,08/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,-1
Mercedes-Benz C 300 Cabrio AMG Night+Comand+360°+M-LED+Distron,58.427 € (Brutto),11.102 km,1.991 cm³,190 kW (258 PS),"Benzin, E10-geeignet",Automatik,-1,07/2020,4,2/3,Euro6,"Cabrio / Roadster, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz CLA 45 AMG Shooting Brake S 4M+ Prem.Navi+LED+18,59.499 € (Brutto),5.499 km,1.991 cm³,310 kW (421 PS),Benzin,Automatik,-1,06/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 d 4M Coupé AMG MBUX+360°+LED+ESHD+DAB+19,56.821 € (Brutto),12.366 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,06/2020,5,4/5,Euro6d,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
