carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz E 400 d 4M. T AMG °UVP 120.868€°DESIGNO°20 ZOLL°,69.707 € (Brutto),18.900 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,05/2019,5,4/5,Euro6d-TEMP,Kombi,1,Unfallfrei
Mercedes-Benz SL380 100%Erstlack76TkmEUAusf.Matching Classic1-,69.950 €,76.000 km,3.800 cm³,160 kW (218 PS),Benzin,Automatik,-1,03/1981,2,2/3,-1,"Cabrio / Roadster, Oldtimer",1,Unfallfrei
Mercedes-Benz GLE 400 d 4M AMG*Fahrassist.*Pano.-Dach*LED*AHK,74.849 € (Brutto),2.155 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Jahreswagen",1,Unfallfrei
Mercedes-Benz CLS 400 d 4M AMG Designo Lack Distronic SHD 360°,71.706 € (Brutto),4.705 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,11/2019,5,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
Mercedes-Benz CLS 53 AMG 4M+ Comand Distr Night SHD Widescreen,71.708 € (Brutto),24.674 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,11/2019,5,4/5,Euro6d,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
"Mercedes-Benz AMG GT Coupe*SPORTABGAS*LED*COMAND*19""LM*PANO*",72.980 €,27.229 km,3.982 cm³,340 kW (462 PS),Benzin,Automatik,-1,09/2015,2,2/3,Euro6,Sportwagen / Coupé,2,-1
Mercedes-Benz E 450 Cab. 4M AMG WideScreen 360° Multibeam PTS,69.890 €,5.445 km,2.996 cm³,270 kW (367 PS),"Benzin, E10-geeignet",Automatik,-1,03/2020,4,2/3,Euro6d-TEMP,Cabrio / Roadster,1,Unfallfrei
"Mercedes-Benz C 63 AMG Cabrio NAVI,LED,LEDER,DISTR.,PARKASSIST",72.900 € (Brutto),21.500 km,-1,350 kW (476 PS),Benzin,Automatik,-1,03/2019,4,2/3,Euro6d-TEMP,Cabrio / Roadster,2,-1
Mercedes-Benz GLE 43 AMG Coupe 4Matic Nav LED Panoram,69.870 € (Brutto),13.311 km,2.996 cm³,287 kW (390 PS),Benzin,Automatik,2019,06/2019,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz AMG C63s AMG Iridiumsilber Jungesterne 08/22,69.900 €,18.000 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,07/2017,4,4/5,Euro6,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz S 400 d L 4M S 63 AMG FACE PANO KEY NAV KAM 20,68.900 € (Brutto),72.500 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,08/2017,5,4/5,Euro6,Limousine,1,Unfallfrei
"Mercedes-Benz S 400 d 4M HUD,Standhz.,Burm.,AHK,Aktivsitz,Dist",68.948 € (Brutto),57.320 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,09/2017,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz GLE 350 d 4M AMG WideScreen 360° Multibeam HUD,71.150 € (Brutto),3.000 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,12/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de 4M AMG *Mopf* Night+MBUX+360+M-LED+Pano,72.082 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,11/2020,5,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T AMG *Mopf* +MBUX+360+LED+Pano+Fahrass,68.065 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,11/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T AMG *Mopf*+MBUX+360°+M-LED+Pano+Distr,68.732 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,10/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T AMG *Mopf*+MBUX+360°+M-LED+Pano+AHK,69.552 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,10/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 e 4M AMG *Mopf*+Night+MBUX+360°+M-LED+Pano,70.117 € (Brutto),8.000 km,1.991 cm³,155 kW (211 PS),"Hybrid (Benzin/Elektro), Plug-in-Hybrid",Automatik,-1,10/2020,5,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 300 d 4M AMG Night+RüKam+LED+Pano+STHZ+7Sitz,73.646 € (Brutto),4.000 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,-1
Mercedes-Benz SL 500 AMG*Massage*Pano*SitzKlima*Distronic*,72.850 €,35.203 km,4.663 cm³,335 kW (455 PS),Benzin,Automatik,-1,01/2017,2,2/3,Euro6,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz E 300 de T 4M AMG *Mopf*+MBUX+360°+M-LED+Pano+18,70.281 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,10/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 220 d Cpe 4M AMG *Mopf*+Night+MBUX+360°+Pano,70.168 € (Brutto),6.466 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,10/2020,4,2/3,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T 4M AMG *Mopf*+Night+MBUX+360+LED+Pano,70.270 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,09/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz V 250 d AVANTGARDE EDITION Lang Comand Pano AHK,69.348 € (Brutto),13.000 km,1.950 cm³,140 kW (190 PS),Diesel,Automatik,-1,07/2020,7,4/5,Euro6d-TEMP,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 450 4MATIC lang Pano/360°/Standhzg/Comand/Dist,71.708 € (Brutto),30.070 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,11/2018,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz E 300 de T 4M AMG *Mopf*+MBUX+RüKam+M-LED+AHK+18,70.271 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,10/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T AMG *Mopf*+MBUX+360°+M-LED+Panora+AHK,71.708 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,11/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 de 4MATIC AMG-Line Distronic/360°/Panoda,68.219 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,09/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T AMG *Mopf*+MBUX+360°+M-LED+Pano+AHK,69.214 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,08/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz Vito e- Tourer PRO / lang,73.964 € (Brutto),5.000 km,-1,145 kW (197 PS),Elektro,Automatik,-1,11/2020,7,4/5,Euro6,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz V 300 d AVANTGARDE Edition Lang,74.477 € (Brutto),8.000 km,1.950 cm³,176 kW (239 PS),Diesel,Automatik,-1,09/2020,7,4/5,Euro6d-TEMP,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de AMG *Mopf*+Night+MBUX+360°+M-LED+Panora,71.775 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,10/2020,5,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 de Coupe 4M AMG Night+MBUX+RüKam+LED+AHK,68.261 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,09/2020,5,4/5,Euro6d,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
