carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz CLA 200 CLA 200 d 4MATIC DCT SCORE!,12.000 €,66.000 km,2.143 cm³,-1,Diesel,Automatik,-1,03/2017,5,-1,Euro6,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes C-Klasse Coupe C180 Gebrauchtwagen,13.000 €,105.000 km,-1,115 kW (156 PS),Benzin,Schaltgetriebe,-1,09/2012,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes-Benz ML 350 BLUETEC 4MATİC Euro6,12.000 €,152.000 km,-1,155 kW (211 PS),Diesel,Automatik,-1,05/2010,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz E 220 CDI*AUTOMATIK*2HD*NAVI*PDC*TEMP*TÜV NEU,11.300 €,150.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,11/2009,5,4/5,Euro5,Limousine,1,Unfallfrei
Mercedes-Benz C 180 T CGI BlueE*7G-TRO*1HAND*NAVI*PDC*TEMP*SHZ,11.900 € (Brutto),132.100 km,1.595 cm³,115 kW (156 PS),Benzin,Automatik,-1,10/2012,5,4/5,Euro5,Kombi,1,Unfallfrei
Mercedes-Benz E 250 CDI DPF Coupe BlueEFFICIENCY Avantgarde,11.800 €,211.000 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,02/2011,4,2/3,Euro5,Sportwagen / Coupé,4,Unfallfrei
Mercedes-Benz C 220 CDI DPF (BlueEFFICIENCY) 7G-TRONIC Ava...,11.400 €,128.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,10/2011,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz Citan 111 CDI Kasten Lang,12.457 € (Brutto),64.900 km,1.461 cm³,81 kW (110 PS),Diesel,Schaltgetriebe,-1,06/2018,-1,4/5,Euro6,Andere,1,-1
Mercedes-Benz Mercedes S500,12.000 €,140.000 km,-1,285 kW (387 PS),Benzin,Automatik,-1,12/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz B 200d STYLE-TOT-SPUR-BREMS-GARANTIE,13.499 € (Brutto),94.410 km,2.143 cm³,100 kW (136 PS),Diesel,Schaltgetriebe,-1,08/2016,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz Mercedes S Klasse W221 4matic S450 Tausch ...,13.750 €,192.000 km,-1,250 kW (340 PS),Benzin,Automatik,-1,10/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes A 180 CDI,12.500 €,181.979 km,-1,80 kW (109 PS),Diesel,Automatik,-1,04/2013,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz Citan,13.800 €,19.000 km,-1,84 kW (114 PS),Benzin,Automatik,-1,09/2016,-1,-1,-1,Kleinwagen,-1,-1
"Mercedes-Benz Mercedez Benz Vito mit 1,5 Jahr Garantie b...",12.499 €,103.172 km,-1,65 kW (88 PS),Diesel,Schaltgetriebe,-1,12/2015,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes Benz E 220 CDI,14.000 €,115.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,11/2012,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz ML 350cdi Bluetec Euro 6,12.000 €,278.200 km,-1,155 kW (211 PS),Diesel,Automatik,-1,06/2011,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz SLK 200 K Grand Edition*top gepflegt+Airscarf*,13.980 €,102.300 km,1.796 cm³,135 kW (184 PS),"Benzin, E10-geeignet",Schaltgetriebe,-1,08/2010,2,2/3,Euro5,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz C 200 T CDI BlueEfficiency*Nur 76`Km+Navi*,12.890 €,76.840 km,2.143 cm³,100 kW (136 PS),Diesel,Schaltgetriebe,-1,12/2013,5,4/5,Euro5,Kombi,-1,Unfallfrei
Mercedes-Benz C 200 T CDI BlueEfficiency*Nur 76`Km+Navi*,12.890 €,76.840 km,2.143 cm³,100 kW (136 PS),Diesel,Schaltgetriebe,-1,12/2013,5,4/5,Euro5,Kombi,-1,Unfallfrei
Mercedes-Benz C 220 CDI T-Modell Avantgarde -- VOLLAUSST...,11.800 €,160.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,08/2009,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz AMG GGI,14.000 €,187.000 km,-1,115 kW (156 PS),Benzin,Automatik,-1,07/2011,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz Glk 200,11.500 €,126.000 km,-1,105 kW (143 PS),Diesel,-1,-1,12/2012,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedes E Coupé 350,13.200 €,151.000 km,-1,170 kW (231 PS),Diesel,Automatik,-1,03/2011,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes E Coupé 350,13.200 €,152.000 km,-1,170 kW (231 PS),Diesel,Automatik,-1,03/2011,-1,-1,-1,Sportwagen / Coupé,-1,-1
