carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz C -Klasse T-Modell C 200 T CDI,4.450 €,273.000 km,2.148 cm³,100 kW (136 PS),Diesel,Automatik,-1,05/2009,5,4/5,Euro4,Kombi,3,Unfallfrei
Mercedes-Benz Mercedes sprinter 316.,5.900 €,216.000 km,-1,115 kW (156 PS),Diesel,Schaltgetriebe,-1,06/2006,-1,-1,-1,Van / Minibus,-1,-1
"Mercedes-Benz B 200 Sondermodell Designo, Panoramadach, AHK",5.950 €,168.036 km,2.034 cm³,100 kW (136 PS),Benzin,Automatik,-1,01/2006,5,4/5,Euro4,Van / Minibus,-1,Unfallfrei
Mercedes-Benz Mercedes w211 e220 t Kombi Limousine eklasse,5.499 €,320.000 km,-1,-1,Diesel,Automatik,-1,06/2008,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz B 150 (8-fach Bereifung),4.250 €,117.679 km,1.498 cm³,70 kW (95 PS),Benzin,Schaltgetriebe,-1,03/2009,5,4/5,Euro4,Van / Minibus,3,Unfallfrei
Mercedes-Benz A 160 BlueEFFICIENCY *KLIMA*AUS 2.HAND*ECO*,4.980 €,96.638 km,1.498 cm³,70 kW (95 PS),Benzin,Schaltgetriebe,-1,10/2010,5,4/5,Euro5,Van / Minibus,2,-1
Mercedes-Benz E220 cdi Modellpflege AHK Avantgarde,4.200 €,336.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,12/2006,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 180 T Kompressor Automatik Avantgarde Spor...,4.800 €,160.000 km,1.796 cm³,105 kW (143 PS),Benzin,Automatik,-1,02/2007,5,4/5,Euro4,Kombi,-1,Unfallfrei
Mercedes-Benz B 170,5.000 €,186.103 km,1.699 cm³,85 kW (116 PS),Benzin,Schaltgetriebe,-1,03/2007,5,4/5,Euro4,Van / Minibus,1,Reparierter Unfallschaden
"Mercedes-Benz A 160 BlueEFFICIENCY, Inzahlung / Tausch möglich",4.999 €,124.500 km,1.498 cm³,70 kW (95 PS),Benzin,Schaltgetriebe,-1,02/2010,5,2/3,Euro5,Limousine,-1,Unfallfrei
Mercedes-Benz R 280 CDI 7G-TRONIC --- BJ 2009,5.999 €,284.936 km,2.987 cm³,140 kW (190 PS),Diesel,Automatik,-1,04/2009,6,4/5,Euro4,Van / Minibus,2,Unfallfrei
Mercedes-Benz Mercedes-Benz B-Klasse 170 Schalter,5.000 €,186.103 km,-1,85 kW (116 PS),Benzin,Schaltgetriebe,-1,03/2007,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes B180 Navi Leder Euro6 Taxi,4.900 €,390.000 km,-1,81 kW (110 PS),Diesel,Automatik,-1,09/2015,-1,-1,-1,Andere,-1,-1
Mercedes-Benz A 160 BlueEFFICIENCY,4.000 €,94.000 km,1.498 cm³,70 kW (95 PS),Benzin,Schaltgetriebe,-1,09/2010,5,4/5,Euro5,Limousine,3,Unfallfrei
