carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz C 250 T CDI BlueEfficiency*Automatik*Tempomat*,10.990 €,171.480 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,03/2013,5,4/5,Euro5,Kombi,2,Unfallfrei
Mercedes-Benz MB GLK 350 CDI 4x4 7g tronic,8.000 €,233.500 km,-1,165 kW (224 PS),Diesel,Automatik,-1,12/2009,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz C 200 K AVANTGARDE AUTOMATIK+TEMPOMAT+PARKTRONIC,10.880 €,60.300 km,1.796 cm³,135 kW (184 PS),Benzin,Automatik,-1,11/2007,5,4/5,Euro4,Limousine,-1,-1
"Mercedes-Benz Vito Kasten 110 CDI TÜV-NEU, 1A-Zustand",8.990 € (Brutto),117.861 km,2.148 cm³,70 kW (95 PS),Diesel,Schaltgetriebe,2012,08/2012,2,4/5,Euro5,Van / Minibus,-1,-1
Mercedes-Benz C -Klasse Lim. C 180 CGI Navi PDC Multifkt Sitzh,8.990 €,131.441 km,1.796 cm³,115 kW (156 PS),"Benzin, E10-geeignet",Schaltgetriebe,-1,12/2010,5,4/5,Euro4,Limousine,2,Unfallfrei
Mercedes-Benz A 180 Autotronic Tempomat Sitzheizung,9.990 €,55.419 km,1.699 cm³,85 kW (116 PS),Benzin,Automatik,-1,11/2011,5,4/5,Euro5,Van / Minibus,1,Unfallfrei
Mercedes-Benz Mercedes Benz E 350 CDI AMG Paket Designo,11.000 €,269.850 km,-1,170 kW (231 PS),Diesel,Automatik,-1,03/2010,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C-Klasse Lim. C 280 /Elegance,9.900 €,94.300 km,2.997 cm³,170 kW (231 PS),Benzin,Automatik,-1,02/2008,5,4/5,Euro4,Limousine,-1,Unfallfrei
"Mercedes-Benz W 204 C200 Diesel Kombi Euro 5 ,,Blue- E...",8.500 €,109.000 km,-1,100 kW (136 PS),Diesel,Schaltgetriebe,-1,08/2011,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Viano 3.0 Cdi Ambiente 8 Platze,8.900 €,300.000 km,-1,150 kW (204 PS),Diesel,Automatik,-1,10/2010,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz C 220 T CDI DPF (BlueEFFICIENCY) 7G-TRONIC E...,9.850 €,178.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,02/2013,5,4/5,Euro5,Kombi,-1,Unfallfrei
Mercedes-Benz Biete hier meinen Mercedes Benz.,9.000 €,101.000 km,-1,136 kW (185 PS),Benzin,Automatik,-1,02/2008,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz ML 420 CDI,Schiebed,Airmatic,AHK,Navi,Xenon,1.Hd",10.990 €,179.636 km,3.996 cm³,225 kW (306 PS),Diesel,Automatik,-1,06/2008,5,4/5,Euro4,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz Mercedes-Benz E220 T CDI DPF Automatik Blu...,10.000 €,230.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,11/2010,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz M -Klasse ML 420 CDI/Led/Navi/GSHD/ab.AHK/1.Hand,8.950 €,272.830 km,3.996 cm³,225 kW (306 PS),Diesel,Automatik,-1,01/2007,5,4/5,Euro4,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz C 350 CDI DPF 7G-TRONIC B.E. Elegance Panoramada,10.999 €,177.100 km,2.987 cm³,170 kW (231 PS),Diesel,Automatik,-1,12/2010,5,4/5,Euro5,Limousine,-1,Unfallfrei
Mercedes-Benz C 180 CGI 1.8 Avantgarde | NAVI | eGSD | SHZ |WR,8.990 €,162.069 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,11/2011,5,4/5,Euro5,Limousine,2,-1
Mercedes-Benz Mercedes CLS 320Cdi (Amg Optik) Tausch geg...,10.900 €,229.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,05/2006,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Citan Kombi 109 lang,9.999 €,59.000 km,1.461 cm³,66 kW (90 PS),Diesel,Schaltgetriebe,-1,01/2014,-1,4/5,Euro5,Kombi,1,Unfallfrei
Mercedes-Benz R -Klasse R350 4-Matic.Leder.Navi.Xenon.ATM45000,9.990 €,145.000 km,3.498 cm³,200 kW (272 PS),Benzin,Automatik,-1,07/2006,5,4/5,Euro4,SUV / Geländewagen / Pickup,3,-1
Mercedes-Benz C 180 Kompressor Lim.,10.200 €,118.200 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,03/2008,5,4/5,Euro4,Limousine,-1,-1
Mercedes-Benz Mercedes Cls 500 AMG packet w219,10.900 €,186.317 km,-1,285 kW (387 PS),Benzin,Automatik,-1,04/2007,-1,-1,-1,Limousine,-1,-1
"Mercedes-Benz E 220 CDI Avangarde ""Xenon-Navi"" ONLINE-Beratung",10.950 €,200.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,05/2009,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz CLK 320 CDI Cabrio TÜV NEU+Leder+Top,8.800 €,199.800 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,06/2006,4,2/3,Euro4,Cabrio / Roadster,-1,-1
"Mercedes-Benz Citan,W415 Klima,Navi, AHK, MBGarantie, 2H...",10.500 €,40.000 km,-1,81 kW (110 PS),Diesel,Schaltgetriebe,-1,05/2015,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz B -Klasse B 160,8.799 €,80.000 km,1.498 cm³,70 kW (95 PS),"Benzin, E10-geeignet",Automatik,2010,04/2010,5,4/5,Euro4,Van / Minibus,-1,-1
Mercedes-Benz C 180-AUTOMA-LIEFERUNG FREI HAUS*- (KOSTENLOS*)-,8.648 €,93.997 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,06/2008,5,4/5,Euro4,Limousine,2,-1
Mercedes-Benz C 220 T CDI BE Sport Edition*AUT./Leder/Navi/ALU,9.950 €,160.600 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,09/2010,5,4/5,Euro5,Kombi,2,-1
Mercedes-Benz Mercedes E Coupé 250 CGI Schwarz Leder Sc...,10.500 €,158.000 km,-1,150 kW (204 PS),Diesel,Automatik,-1,08/2010,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz B 180 CDI*AUT./Leder/Navi/ALU/Kamera/TÜVNEU/TOP*,10.950 €,165.750 km,1.461 cm³,80 kW (109 PS),Diesel,Automatik,-1,09/2014,5,4/5,Euro5,Van / Minibus,-1,-1
Mercedes-Benz E 350 CDI I NAVI I XENON I STANDH. I AMG I TAXI,10.490 €,183.398 km,2.987 cm³,170 kW (231 PS),Diesel,Automatik,-1,03/2010,5,4/5,-1,Limousine,2,Unfallfrei
Mercedes-Benz C -Klasse T-Modell C 200 T Kompressor,8.460 €,150.000 km,1.796 cm³,135 kW (184 PS),Benzin,Schaltgetriebe,-1,09/2009,5,4/5,Euro5,Kombi,2,-1
Mercedes-Benz Mercedes-Benz A180 Turbo/BlueEfficiency,10.000 €,165.581 km,-1,90 kW (122 PS),Benzin,Schaltgetriebe,-1,08/2014,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 250 T CDI DPF BlueEFFICIENCY Avantgarde,8.250 €,169.900 km,2.143 cm³,150 kW (204 PS),Diesel,Schaltgetriebe,-1,02/2010,5,4/5,Euro5,Kombi,4,Unfallfrei
Mercedes-Benz CLC 180 Kompressor Automatik,8.490 €,81.500 km,1.796 cm³,105 kW (143 PS),Benzin,Automatik,-1,06/2008,4,2/3,Euro4,Sportwagen / Coupé,2,Reparierter Unfallschaden
Mercedes-Benz Mercedes ml 320 TÜV neu Offroadpaket Volla...,8.000 €,166.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,06/2007,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
