carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz CLA -Klasse CLA 180/LED/Navi/Urban,20.690 € (Brutto),18.700 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,-1,12/2018,5,4/5,Euro6,Sportwagen / Coupé,1,-1
Mercedes-Benz Mercedes Benz B-Klasse B180 CDI E6 Urban S...,18.750 €,63.000 km,-1,80 kW (109 PS),Diesel,Automatik,-1,03/2015,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes E350-7sitzer *Sportpaket Avantgarde*,17.800 €,181.000 km,-1,195 kW (265 PS),Diesel,Automatik,-1,07/2012,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes cla 280 D,17.500 €,67.000 km,-1,80 kW (109 PS),Diesel,Automatik,-1,10/2015,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz CLS Shooting Brake Sportpack...,19.000 €,143.000 km,-1,150 kW (204 PS),Diesel,Automatik,-1,05/2012,-1,-1,-1,Andere,-1,-1
Mercedes-Benz E -Klasse Coupe E 200-MERCEDES GARANTIE 06/2022,20.490 €,93.562 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,-1,07/2015,4,2/3,Euro6,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz Mercedes-Benz GLA200 Urban,20.950 €,22.000 km,-1,115 kW (156 PS),Benzin,Schaltgetriebe,-1,12/2016,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedes E500 Kombi W212 LPG,18.200 €,228.000 km,-1,285 kW (387 PS),Autogas (LPG),Automatik,-1,03/2010,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz A 180 BlueEfficiency AMG Line*Navi*Led*Xenon*,17.999 €,28.900 km,1.595 cm³,90 kW (122 PS),Benzin,Automatik,-1,05/2015,5,4/5,Euro6,Limousine,1,-1
Mercedes-Benz C 180 CGI Limo*Comand Online*Totenwinkel*,17.999 €,93.794 km,1.595 cm³,115 kW (156 PS),Benzin,Automatik,-1,04/2014,5,4/5,Euro6,Limousine,2,-1
Mercedes-Benz MERCEDES CLA 180 D,17.500 €,67.000 km,-1,80 kW (109 PS),Diesel,Automatik,-1,10/2015,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Vito 190 Extralang,19.990 €,198.000 km,-1,140 kW (190 PS),Diesel,Automatik,-1,09/2017,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz CLA Mercedes Benz CLA 200,19.900 €,73.000 km,-1,115 kW (156 PS),Benzin,Automatik,-1,11/2015,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz E 350 AMG Scheckheftgepflegt bei Mercedes,19.500 €,182.000 km,2.987 cm³,185 kW (252 PS),Diesel,Automatik,-1,04/2014,4,2/3,Euro4,Cabrio / Roadster,-1,Unfallfrei
Mercedes-Benz E 350 CDI Cabrio AMG Aircraft ILS Comand Keyles,17.400 €,144.800 km,2.987 cm³,170 kW (231 PS),Diesel,Automatik,-1,07/2010,4,2/3,Euro5,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz Mercedes CLS 350d Voll,18.200 €,296.000 km,-1,190 kW (258 PS),Diesel,Automatik,-1,09/2015,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz E 220 BlueTEC-Navi-ILS-SHZ-BT-9G-EURO6-Garantie,19.490 €,96.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,2015,04/2015,5,4/5,Euro6,Limousine,-1,-1
