carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz E 200 Coupé AMG COMAND/Night/Widescreen/360°Kam.,43.900 € (Brutto),19.600 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,2019,06/2019,4,2/3,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz E 200 Coupé AMG COMAND/Night/Widescreen/360°Kam.,43.900 € (Brutto),19.600 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,2019,06/2019,4,2/3,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz E 350 Coupé Hybrid 2x AMG LINE Widescr. Pano Kam,42.880 € (Brutto),49.224 km,1.991 cm³,220 kW (299 PS),Hybrid (Benzin/Elektro),Automatik,2018,05/2018,4,2/3,Euro6,Sportwagen / Coupé,1,-1
Mercedes-Benz V 250 (BlueTEC) d lang 7G-TRONIC AMG Edition,42.950 €,54.015 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,-1,08/2017,7,4/5,Euro6,Van / Minibus,2,Unfallfrei
Mercedes-Benz C 300 d T 4Matic 9G AMG 360° Multi-BEAM,44.900 €,20.500 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,06/2019,5,4/5,Euro6d-TEMP,Kombi,2,-1
Mercedes-Benz E 250 T Autom. AMG Styling 1.HAND/COMMAND/LED/BT,39.490 € (Brutto),42.170 km,1.991 cm³,155 kW (211 PS),Benzin,Automatik,-1,08/2018,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz Mercedes GLC 200 4 Matic Exclusive AHK Nig...,41.000 €,19.890 km,-1,145 kW (197 PS),Benzin,Automatik,-1,01/2020,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz S 350 BlueTEC d Lang *WIR SIND FÜR SIE DA*,39.499 €,91.150 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,05/2014,5,4/5,Euro6,Limousine,2,-1
Mercedes-Benz C 43 T 4Matic Burmester|Night|Pano.|Sportauspuff,40.900 € (Brutto),45.000 km,2.996 cm³,270 kW (367 PS),Benzin,Automatik,2017,08/2017,5,4/5,Euro6,Kombi,-1,-1
Mercedes-Benz E 400 d 4M Avantgarde WideScreen Multibeam AHK,41.990 € (Brutto),22.336 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,08/2019,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
