carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz C 300 d AMG 9G PANO WIDESC LED HUD DIST BURMESTR,46.500 € (Brutto),250 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,08/2019,5,4/5,Euro6d-TEMP,Limousine,2,Unfallfrei
Mercedes-Benz Coupe S 500 4Matic TV Exclusiv Paket,49.890 € (Brutto),139.997 km,4.663 cm³,335 kW (455 PS),Benzin,Automatik,-1,07/2015,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLE-Klasse GLE 63 AMG/Mod. 2016/Vollausstattung,48.900 €,79.852 km,5.461 cm³,410 kW (557 PS),Benzin,Automatik,-1,11/2015,5,4/5,Euro6,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz C 300 de T- AMG Comand/Distronic/AHK/Wides/Burme,48.900 € (Brutto),14.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,2020,06/2020,5,4/5,Euro6d-TEMP,Kombi,2,Unfallfrei
Mercedes-Benz C 300 de T- AMG Comand/Distronic/AHK/Wides/Burme,48.900 € (Brutto),14.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,2020,06/2020,5,4/5,Euro6d-TEMP,Kombi,2,Unfallfrei
Mercedes-Benz Mercedes Benz C 43 AMG Top Zustand Unfallfrei,47.500 €,40.000 km,-1,287 kW (390 PS),Benzin,Automatik,-1,06/2018,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz CLS 63 AMG S CARBON+KERAMIK+AMG DRIVERS PACKAGE,46.800 € (Brutto),173.647 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,04/2015,4,4/5,Euro6,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz S 350 d L Fondent FirstClass 360° Pano Distr.,49.990 € (Brutto),41.345 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,11/2017,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz V 250 lang BT Avantgarde Edition 360° Stdhzg TV,46.284 € (Brutto),72.292 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,-1,12/2016,7,4/5,-1,Van / Minibus,1,Unfallfrei
Mercedes-Benz GLE 400 4MATIC Coupé RüKam/Distronic/Navi/Harman,47.860 € (Brutto),49.590 km,2.996 cm³,245 kW (333 PS),Benzin,Automatik,-1,09/2017,5,4/5,Euro6,Sportwagen / Coupé,1,Unfallfrei
