carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz Mercedes ML 230 W163 TÜV August 2022,2.399 €,230.000 km,-1,110 kW (150 PS),Benzin,Schaltgetriebe,-1,12/1998,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedes Benz CLK 320//120tkm!!!,2.399 €,120.000 km,-1,160 kW (218 PS),Benzin,Automatik,-1,11/1998,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes CLK 320 Coupé 120tkm!!,2.399 €,121.000 km,-1,160 kW (218 PS),Benzin,Automatik,-1,07/1998,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes A150,2.900 €,119.000 km,-1,75 kW (102 PS),Benzin,Schaltgetriebe,-1,05/2007,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz MB E Klasse 270 CDI Automatik,2.600 €,242.000 km,-1,130 kW (177 PS),Diesel,Automatik,-1,01/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes A160 Langversion(selten!!) Wenige...,2.000 €,100.211 km,-1,74 kW (101 PS),Benzin,Schaltgetriebe,-1,04/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes Benz Aklasse 160 CDI Facelift,2.100 €,199.813 km,-1,-1,Diesel,Schaltgetriebe,-1,09/2008,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz ML 270 Aut. Leder Klima TÜV 02/21 mod 2001,2.300 €,299.000 km,-1,120 kW (163 PS),Diesel,Automatik,-1,03/2002,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
"Mercedes-Benz Mercedes Benz A 150, Klima, 8 fach bereift...",3.000 €,206.792 km,-1,70 kW (95 PS),Benzin,Schaltgetriebe,-1,09/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes Benz,2.700 €,182.000 km,-1,85 kW (116 PS),Diesel,Automatik,-1,01/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz E 280 CDI Avantgarde DPF,2.500 €,320.000 km,3.222 cm³,130 kW (177 PS),Diesel,Automatik,-1,07/2004,5,4/5,Euro4,Limousine,-1,Unfallfrei
Mercedes-Benz Mercedes Benz A210 AMG Evolution W168 Auto...,2.400 €,172.000 km,-1,103 kW (140 PS),Benzin,Automatik,-1,09/2003,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Frau zeynep,2.650 €,230.000 km,-1,80 kW (109 PS),Diesel,Automatik,-1,10/2006,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Sprinter 311 hoch und lang,2.199 €,329.000 km,2.296 cm³,70 kW (95 PS),Diesel,Schaltgetriebe,-1,06/2001,3,4/5,-1,Van / Minibus,-1,Unfallfrei
