carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz C 180 T AVANTGARDE / Rü.Kam./Parktronic/PanoDach,32.450 € (Brutto),14.400 km,1.497 cm³,115 kW (156 PS),Benzin,Automatik,-1,10/2019,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz C 220 d AVANTGARDE Rü.Kam./Parktronic/Sitzhzg./,31.450 € (Brutto),21.990 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,11/2019,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz B 250 PROGRESSIVE RüKa/Tempomat/Tempomat/Sitzhzg,30.830 € (Brutto),29.190 km,1.991 cm³,165 kW (224 PS),Benzin,Automatik,-1,04/2019,5,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz B 250 PROGRESSIVE 360°/LED/MBUX/AHK/Sitzheizung/,32.420 € (Brutto),5.830 km,1.991 cm³,165 kW (224 PS),Benzin,Automatik,-1,03/2019,5,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz B 220 4MATIC PROGRESSIVE Rü.Kam/Standhzg/MBUX/,31.450 € (Brutto),10.330 km,1.991 cm³,140 kW (190 PS),Benzin,Automatik,-1,10/2019,5,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz A 220 4MATIC PROGRESSIVE Distronic/MBUX/Sitzhzg.,29.850 € (Brutto),9.480 km,1.991 cm³,140 kW (190 PS),Benzin,Automatik,-1,09/2019,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz A 200 Lim. PROGRESSIVE Night+MBUX+RüKam+LED+Totw,32.699 € (Brutto),4.674 km,1.332 cm³,120 kW (163 PS),"Benzin, E10-geeignet",Automatik,-1,08/2020,5,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz A 250 Progressiv Coman/RüKa/LED/19LM/MBUX/Sitzh,30.830 € (Brutto),12.660 km,1.991 cm³,165 kW (224 PS),Benzin,Automatik,-1,04/2019,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz B 200 PROGRESSIVE Prem.Navi+RüKam+LED+Totwink+17,31.760 € (Brutto),4.000 km,1.332 cm³,120 kW (163 PS),"Benzin, E10-geeignet",Automatik,-1,07/2020,5,4/5,Euro6,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz A 180 PROGRESSIVE Prem.Navi+RüKam+LED+Totwink+17,30.318 € (Brutto),13.755 km,1.332 cm³,100 kW (136 PS),"Benzin, E10-geeignet",Automatik,-1,07/2020,5,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
