carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz GLA 200 7G-DCT AMG Line Navi LED DAB Aktiv Park,24.995 €,17.000 km,1.595 cm³,115 kW (156 PS),Benzin,Automatik,-1,05/2019,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz GLE 250 9G LED Leder Navi SHZ Tempomat LM18'' I.,28.000 € (Brutto),154.900 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,12/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLC 220 4Matic Navi DAB SHZ PDC Tempomat,27.000 € (Brutto),45.800 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,11/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLC 250 4Matic AMG Line Pano Leder Navi SHZ PDC,27.900 € (Brutto),105.700 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,11/2016,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz C 220 d T 9G-TRONIC Avantgarde LED*NAVI*KAMERA,28.900 € (Brutto),44.323 km,2.000 cm³,143 kW (194 PS),Diesel,Automatik,-1,12/2019,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz A 200 AMG+KompLim+PremNavi+MBUX+Burm+LED+Spur,27.495 € (Brutto),12.290 km,1.332 cm³,120 kW (163 PS),"Benzin, E10-geeignet",Schaltgetriebe,-1,09/2019,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
Mercedes-Benz E 250 Coupe,24.630 €,50.600 km,1.991 cm³,155 kW (211 PS),Benzin,Automatik,-1,04/2015,4,2/3,Euro5,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz Mercedes GLC 250 MwSt Command Luft Pano ex...,27.900 €,113.800 km,-1,150 kW (204 PS),Diesel,Automatik,-1,10/2016,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Cls500 AMG,25.000 €,168.000 km,-1,300 kW (408 PS),Benzin,-1,-1,12/2011,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes Benz C180,27.900 €,21.730 km,-1,115 kW (156 PS),Benzin,Automatik,-1,03/2019,-1,-1,-1,Andere,-1,-1
Mercedes-Benz SLC 180,28.900 €,23.800 km,1.595 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,-1,12/2017,2,2/3,Euro6,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz CLA 180 AMG Line,24.600 €,60.000 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,-1,03/2017,5,4/5,Euro6,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes Benz C 180 AMG Line (Night-Paket),24.000 €,122.000 km,-1,115 kW (156 PS),Benzin,Automatik,-1,09/2015,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz E220 AVANGARD LIMOUSIN PANORAMADACH,24.000 €,230.000 km,-1,143 kW (194 PS),Diesel,Automatik,-1,07/2016,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz GlC 300 4 Matic,29.000 €,74.000 km,-1,180 kW (245 PS),Benzin,Automatik,-1,01/2017,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
"Mercedes-Benz C 220/C 63 AMG UMBAU CARBON PAKET 19""ZOLL,PANO !",24.999 €,99.821 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,07/2015,5,4/5,Euro6,Limousine,2,-1
Mercedes-Benz C -Klasse C 250 AMG 360° Kamera.Navi AHK.,24.295 €,73.630 km,2.143 cm³,150 kW (204 PS),"Diesel, Biodiesel geeignet",Automatik,-1,01/2017,5,4/5,Euro6,Kombi,-1,-1
Mercedes-Benz C 180 9G-TRONIC Avantgarde / JUNGE STERNE,25.850 €,32.247 km,1.479 cm³,115 kW (156 PS),Benzin,Automatik,-1,07/2019,5,4/5,Euro6d-TEMP,Limousine,2,Unfallfrei
