carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
"Mercedes-Benz Mercedes A140 / W168 Tüv u. Asu bis 04,2...",600 €,208.775 km,-1,60 kW (82 PS),Benzin,Schaltgetriebe,-1,04/2003,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz C200 Kompressor Automatik kein kat,500 €,260.951 km,-1,95 kW (129 PS),Benzin,Automatik,-1,11/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes c180 elegance,1.000 €,266.000 km,-1,-1,Benzin,Schaltgetriebe,-1,11/1996,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes A Klasse TüV 06/21 8- fach Bereift,600 €,201.000 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,04/1998,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes A140 TÜV 06/21 sofort fahrbereit...,600 €,202.000 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,04/1998,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes C180 - guter Zustand,1.000 €,179.000 km,-1,88 kW (120 PS),Benzin,Schaltgetriebe,-1,03/1998,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes C180 - guter Zustand,1.000 €,179.000 km,-1,88 kW (120 PS),Benzin,Schaltgetriebe,-1,03/1998,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz 1994 MERCEDES elegance 1.8 benzin,750 €,164.511 km,-1,88 kW (120 PS),Benzin,Automatik,-1,11/1994,-1,-1,-1,Limousine,-1,-1
"Mercedes-Benz Mercedes Vaneo 1,7 CDI Klima 7 Sitzer",850 €,259.000 km,-1,67 kW (91 PS),Diesel,Schaltgetriebe,-1,06/2004,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes benz A 170 cdi Zustand gut,650 €,239.500 km,-1,70 kW (95 PS),Diesel,Schaltgetriebe,-1,01/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes C200 Diesel,700 €,430.000 km,-1,-1,Diesel,Schaltgetriebe,-1,11/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz A Klasse 140 Automatik tüv n...,999 €,110.000 km,-1,59 kW (80 PS),Benzin,Automatik,-1,12/1999,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz C 220 CDI aus 1 Hand,900 €,236.038 km,-1,105 kW (143 PS),Diesel,Schaltgetriebe,-1,08/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz A160 CDI !!!Bastler oder Exp...,950 €,181.000 km,-1,60 kW (82 PS),Diesel,Schaltgetriebe,-1,08/2005,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz C Klasse 200 CDI,999 €,459.733 km,-1,85 kW (116 PS),Diesel,Schaltgetriebe,-1,02/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz E 240 Benzin,850 €,320.000 km,-1,125 kW (170 PS),Benzin,Schaltgetriebe,-1,10/2000,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Clk 320 w208 MIT KATS,800 €,356.000 km,-1,160 kW (218 PS),Benzin,Automatik,-1,01/1998,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes Benz A Klasse,1.000 €,252.358 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,10/2001,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes Benz A Klasse,1.000 €,252.358 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,10/2001,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes-Benz A 160 TÜV bis 07/2021,900 €,156.000 km,-1,75 kW (102 PS),Benzin,Schaltgetriebe,-1,07/1998,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes Benz 200CDI Tüv neu,900 €,370.000 km,-1,-1,Diesel,Schaltgetriebe,-1,08/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 220 CDI,990 €,300.000 km,2.184 cm³,105 kW (143 PS),Diesel,Schaltgetriebe,-1,09/2003,5,4/5,Euro4,Kombi,-1,-1
Mercedes-Benz Mercedes A-Klasse,650 €,142.000 km,-1,-1,-1,-1,-1,08/2002,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes C220,800 €,181.000 km,-1,110 kW (150 PS),Benzin,Automatik,-1,04/1994,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes C240 W203 V6 Benziner TÜV 12/20 1...,999 €,156.800 km,-1,125 kW (170 PS),Benzin,Schaltgetriebe,-1,05/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes E Klasse Turbodiesel 270 w210,600 €,300.000 km,-1,-1,Diesel,-1,-1,02/2002,-1,-1,-1,Andere,-1,-1
Mercedes-Benz mercedes benz w202 c220 diesel,700 €,300.000 km,-1,-1,Diesel,Schaltgetriebe,-1,12/1996,-1,-1,-1,Andere,-1,-1
Mercedes-Benz C klasse220 cdi TÜV bis März 2022,750 €,360.000 km,-1,103 kW (140 PS),Diesel,Schaltgetriebe,-1,12/2002,-1,-1,-1,Kombi,-1,-1
"Mercedes-Benz DB- E 220 Diesel Typ 210, 95 PS für Bastle...",629 €,344.534 km,-1,70 kW (95 PS),Diesel,Schaltgetriebe,-1,11/1997,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes c klasse 220,900 €,250.000 km,-1,105 kW (143 PS),Diesel,Automatik,-1,01/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes C Klasse 180 T Kompressor 2006,650 €,264.000 km,-1,105 kW (143 PS),Benzin,Schaltgetriebe,-1,03/2006,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz tausche Mercedes A160 elegance gegen opel...,500 €,190.000 km,-1,74 kW (101 PS),Benzin,Schaltgetriebe,-1,05/1999,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes-Benz C-Klasse W203,500 €,234.774 km,-1,95 kW (129 PS),Benzin,Schaltgetriebe,-1,10/2001,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz C200 CDI,999 €,227.000 km,-1,100 kW (136 PS),Diesel,Schaltgetriebe,-1,07/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes C220 Diesel Coupe Navi,990 €,220.121 km,-1,110 kW (150 PS),Diesel,Automatik,-1,12/2004,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes e210 356000 km Motor 240,500 €,350.000 km,-1,125 kW (170 PS),Benzin,Schaltgetriebe,-1,05/1997,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes a140 W168,800 €,177.000 km,-1,63 kW (86 PS),Benzin,-1,-1,11/2000,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Auto packt Mercedes benz A 140 klasse/VW polo,999 €,139.100 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,05/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Auto packt Mercedes benz A 140 klasse/VW polo,999 €,139.100 km,-1,59 kW (80 PS),Benzin,Schaltgetriebe,-1,05/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes Benz A140,550 €,222.664 km,-1,55 kW (75 PS),Benzin,Schaltgetriebe,-1,01/2002,-1,-1,-1,Andere,-1,-1
