carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz Mercedes Vito 2.2 Tüv 11/21 Turboschaden,3.999 €,139.000 km,-1,70 kW (95 PS),Diesel,Schaltgetriebe,-1,05/2009,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz C 200 Kompressor Sportcoupe,3.200 €,161.000 km,1.796 cm³,120 kW (163 PS),Benzin,Automatik,-1,05/2003,4,2/3,Euro4,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz Mercedes-Benz A Klasse A160 Blue Efficiency,3.399 €,190.300 km,-1,70 kW (95 PS),Benzin,Schaltgetriebe,-1,10/2010,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes 230c kompressor,3.900 €,165.000 km,-1,141 kW (192 PS),Benzin,Automatik,-1,01/2003,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes Benz E200,3.700 €,300.000 km,-1,-1,Diesel,Automatik,-1,12/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes A170,3.099 €,185.000 km,-1,85 kW (116 PS),Benzin,Schaltgetriebe,-1,03/2005,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes Benz C 180 W 203 Kompressor Elegance,3.300 €,184.000 km,-1,105 kW (143 PS),Benzin,Schaltgetriebe,-1,07/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Clk 320 LPG (Nicht eingetragen),3.500 €,210.000 km,-1,160 kW (218 PS),Autogas (LPG),Automatik,-1,09/2002,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz C 200 T CDI Automatik Avantgarde,3.350 €,251.850 km,2.148 cm³,90 kW (122 PS),Diesel,Automatik,-1,08/2004,5,4/5,Euro4,Kombi,6,Reparierter Unfallschaden
Mercedes-Benz SLK 230 Kompressor Xenon / Leder / Top Gepflegt,3.990 €,241.029 km,2.295 cm³,145 kW (197 PS),Benzin,Automatik,-1,03/2002,2,2/3,Euro3,Cabrio / Roadster,3,Unfallfrei
Mercedes-Benz Mercedes Benz Slk 230 Kompressor,3.500 €,195.000 km,-1,145 kW (197 PS),Benzin,Automatik,-1,12/2002,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz Mercedes E Klasse Tüv 08/22,3.399 €,311.528 km,-1,130 kW (177 PS),Benzin,Automatik,-1,10/2004,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes ML 270,3.400 €,278.000 km,-1,-1,Diesel,Automatik,-1,04/2003,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedes Benz B klasse mit Sportpaket,3.850 €,211.000 km,-1,80 kW (109 PS),Diesel,Schaltgetriebe,-1,08/2007,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz W203 C220 CDi Avantgarde Aut,3.500 €,245.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,10/2005,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Hallo ich Verkaufe meine Mercedes-Benz vito,3.000 €,480.000 km,-1,115 kW (156 PS),Diesel,Automatik,-1,09/2007,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes CLK 200,3.500 €,157.000 km,-1,120 kW (163 PS),Benzin,Schaltgetriebe,-1,06/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes Benz E 320CDI,3.850 €,515.000 km,-1,150 kW (204 PS),Diesel,Automatik,-1,03/2003,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz E 320CDI,3.850 €,515.000 km,-1,150 kW (204 PS),Diesel,Automatik,-1,03/2003,-1,-1,-1,Kombi,-1,-1
"Mercedes-Benz Mercedes E 320 CDI ""Voll"" Distronic usw......",3.500 €,390.000 km,-1,-1,Diesel,Automatik,-1,10/2007,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz E 220 CDI Automatik Avantgarde,3.999 €,312.568 km,2.148 cm³,110 kW (150 PS),Diesel,Automatik,-1,09/2003,5,4/5,Euro4,Limousine,2,-1
Mercedes-Benz Mercedes E 320 cdi 4 matic Avantgarde TAUS...,3.200 €,338.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,11/2005,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes w203 2.2 Diesel,3.350 €,197.000 km,-1,85 kW (116 PS),Diesel,Schaltgetriebe,-1,09/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes c220 Cdi (schiebedach),3.300 €,330.000 km,-1,125 kW (170 PS),Diesel,Schaltgetriebe,-1,03/2008,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes-Benz c 200 Kompressor Automaik El...,4.000 €,210.000 km,-1,120 kW (163 PS),Benzin,Automatik,-1,11/2004,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 200 Kompressor Avantgarde,3.800 €,165.000 km,1.796 cm³,120 kW (163 PS),Benzin,Automatik,-1,03/2003,5,4/5,Euro4,Limousine,3,-1
Mercedes-Benz Mercedes Benz C 220d,3.100 €,165.000 km,-1,105 kW (143 PS),Diesel,Schaltgetriebe,-1,04/2004,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C300 fahrt mit lpg Getriebe broblem,3.400 €,260.000 km,-1,184 kW (250 PS),Autogas (LPG),Automatik,-1,12/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz C 200 Kompressor / TÜV 9-2021,3.900 €,165.000 km,-1,120 kW (163 PS),Benzin,Automatik,-1,03/2003,-1,-1,-1,Limousine,-1,-1
"Mercedes-Benz A 160 L, TÜV NEU, 1 JAHR GEWÄHRLEISTUNG",3.480 €,76.000 km,1.595 cm³,75 kW (102 PS),Benzin,Schaltgetriebe,-1,04/2002,5,4/5,Euro4,Limousine,-1,-1
Mercedes-Benz Mercedes Benz B 170 Automatik Top Zustand ...,3.450 €,173.000 km,-1,85 kW (116 PS),Benzin,Automatik,-1,02/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes ML 270 CDI,3.750 €,233.500 km,-1,120 kW (163 PS),Diesel,Automatik,-1,10/2002,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz A 170 Avantgarde TÜV+ Service Neu,3.300 €,105.000 km,1.699 cm³,85 kW (116 PS),Benzin,Schaltgetriebe,-1,04/2005,5,4/5,Euro4,Limousine,3,Unfallfrei
Mercedes-Benz Mercedes C 320 Lpg Gasanlage Prins,3.290 €,224.000 km,-1,160 kW (218 PS),Autogas (LPG),Automatik,-1,02/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz 200 CDI w211,3.650 €,238.000 km,-1,90 kW (122 PS),Diesel,Automatik,-1,07/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes C 220 CDI,3.800 €,275.000 km,-1,125 kW (170 PS),Diesel,Schaltgetriebe,-1,12/2010,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz c220 cdi,3.900 €,257.800 km,-1,109 kW (148 PS),Diesel,Schaltgetriebe,-1,09/2006,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 200 T Kompressor Classic,3.500 €,167.500 km,1.796 cm³,120 kW (163 PS),Benzin,Schaltgetriebe,-1,05/2003,5,4/5,Euro4,Kombi,3,Unfallfrei
Mercedes-Benz C 200 T Kompressor Classic,3.500 €,167.500 km,1.796 cm³,120 kW (163 PS),Benzin,Schaltgetriebe,-1,05/2003,5,4/5,Euro4,Kombi,3,Unfallfrei
Mercedes-Benz C 220 CDI Classic .Scheckheft bei Mercedes!!,3.199 €,206.212 km,2.148 cm³,110 kW (150 PS),Diesel,Schaltgetriebe,-1,09/2004,5,4/5,Euro4,Limousine,2,Unfallfrei
Mercedes-Benz Mercedes Benz Sprinter,3.800 €,403.001 km,-1,95 kW (129 PS),Diesel,Schaltgetriebe,-1,09/2010,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz C 200 T Kompressor Classic,3.500 €,167.500 km,1.796 cm³,120 kW (163 PS),Benzin,Schaltgetriebe,-1,03/2003,5,4/5,Euro4,Kombi,3,Unfallfrei
Mercedes-Benz A 160 CDI / 72.000Km /1 Hand,3.950 €,72.000 km,1.991 cm³,60 kW (82 PS),Diesel,Schaltgetriebe,-1,03/2006,5,4/5,Euro4,Limousine,1,Unfallfrei
Mercedes-Benz A -Klasse A 180 CDI/Klima/PTS.......,3.250 €,181.000 km,1.991 cm³,80 kW (109 PS),Diesel,Schaltgetriebe,-1,08/2008,5,4/5,Euro4,Limousine,2,-1
Mercedes-Benz E320 CDI Avandgard,3.500 €,303.000 km,-1,168 kW (228 PS),Diesel,Automatik,-1,04/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes BKlasse,3.650 €,189.800 km,-1,105 kW (143 PS),Diesel,Schaltgetriebe,-1,11/2007,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz C 220 CDI Elegance DPF,3.999 €,220.000 km,2.148 cm³,110 kW (150 PS),Diesel,Schaltgetriebe,-1,07/2006,5,4/5,Euro4,Limousine,3,Unfallfrei
Mercedes-Benz Sprinter Kasten 311 CDI 115TKm TÜV neu,3.250 €,115.000 km,2.148 cm³,80 kW (109 PS),Diesel,Schaltgetriebe,-1,08/2002,3,4/5,Euro3,Andere,2,-1
Mercedes-Benz Kombi 320 E,3.500 €,223.000 km,3.199 cm³,150 kW (204 PS),Diesel,Automatik,-1,03/2005,5,4/5,Euro4,Kombi,2,-1
Mercedes-Benz A 160 BlueEFFICIENCY,4.000 €,94.000 km,1.498 cm³,70 kW (95 PS),Benzin,Schaltgetriebe,-1,09/2010,5,4/5,Euro5,Limousine,3,Unfallfrei
Mercedes-Benz Mercedes e240 tausch gegen diesel,3.250 €,312.000 km,-1,125 kW (170 PS),Benzin,Schaltgetriebe,-1,06/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 180 Kompressor Elegance HU bis 2022/BJ 2005,3.950 €,168.000 km,1.796 cm³,105 kW (143 PS),Benzin,Schaltgetriebe,-1,10/2005,5,4/5,Euro4,Limousine,3,Unfallfrei
Mercedes-Benz Mercedes e200 cdi tüv 2022,3.300 €,277.000 km,-1,102 kW (139 PS),Diesel,Automatik,-1,09/2008,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes 111 cdi,3.500 €,225.000 km,-1,85 kW (116 PS),Diesel,-1,-1,10/2008,-1,-1,-1,Andere,-1,-1
Mercedes-Benz E 220 T CDI Leistungsoptimierung LED Mulimedia,3.200 €,207.000 km,2.148 cm³,110 kW (150 PS),Diesel,Schaltgetriebe,-1,12/2003,5,4/5,Euro3,Kombi,-1,-1
Mercedes-Benz Mercedes C220 CDI Avantgarde Sportpaket Au...,3.450 €,245.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,04/2006,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz A -Klasse A 170,3.990 €,94.647 km,1.699 cm³,85 kW (116 PS),Benzin,Automatik,-1,03/2005,5,2/3,-1,Kleinwagen,-1,-1
Mercedes-Benz C -Klasse Sportcoupe C 180 Kompressor,3.100 €,149.000 km,1.796 cm³,105 kW (143 PS),Benzin,Schaltgetriebe,-1,10/2004,4,2/3,Euro4,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz C -Klasse Sportcoupe C 180 Kompressor,3.100 €,149.000 km,1.796 cm³,105 kW (143 PS),Benzin,Schaltgetriebe,-1,10/2004,4,2/3,Euro4,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz E -Klasse T-Modell E 280 T CDI/Avantgarde/Tüvneu,3.950 €,350.000 km,2.987 cm³,140 kW (190 PS),Diesel,Automatik,-1,12/2005,5,4/5,Euro4,Kombi,2,Unfallfrei
Mercedes-Benz Mercedes ml400,3.550 €,320.000 km,-1,184 kW (250 PS),Diesel,Automatik,-1,06/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz C 220 CDI Avantgarde *AHK/LICHTSENSOR/SITZHEIZ*,3.900 €,146.182 km,2.148 cm³,105 kW (143 PS),Diesel,Schaltgetriebe,-1,07/2003,5,4/5,Euro3,Limousine,2,Unfallfrei
Mercedes-Benz C 220 T CDI Classic,3.890 €,179.100 km,2.148 cm³,105 kW (143 PS),Diesel,Schaltgetriebe,-1,07/2003,5,4/5,Euro3,Kombi,1,-1
Mercedes-Benz E Klasse 220 CDI,3.300 €,287.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,05/2003,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes B 200 Turbo,3.800 €,235.200 km,-1,142 kW (193 PS),Benzin,Schaltgetriebe,-1,04/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes e320CDI Avantgarde 7G Tronic,3.700 €,296.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,12/2005,-1,-1,-1,Kombi,-1,-1
"Mercedes-Benz Mercedes-Benz B 170 B 180 AHK, Panodach, K...",3.190 €,173.590 km,-1,85 kW (116 PS),Benzin,Schaltgetriebe,-1,03/2007,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz E -Klasse T-Modell E 200 T KOMPRESSOR,3.499 €,250.000 km,1.796 cm³,120 kW (163 PS),Benzin,Automatik,-1,03/2006,5,4/5,Euro4,Kombi,-1,-1
Mercedes-Benz Mercedes w203,3.500 €,270.000 km,-1,90 kW (122 PS),Diesel,Automatik,-1,09/2005,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Verkaufe Mercedes Benz ML 163 270cdi,3.980 €,260.500 km,-1,120 kW (163 PS),Diesel,Automatik,-1,05/2003,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
"Mercedes-Benz E 270 T CDI Avantgarde, Automatik, Standhzg.",3.950 €,293.500 km,2.685 cm³,130 kW (177 PS),Diesel,Automatik,-1,12/2004,5,4/5,Euro3,Kombi,2,Unfallfrei
Mercedes-Benz E Klasse 220 CDI,3.300 €,287.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,05/2003,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 220 CDI *KLIMA*NAVI* Automatik* AHK,3.500 €,225.000 km,2.148 cm³,110 kW (150 PS),Diesel,Automatik,-1,09/2004,5,4/5,Euro4,Limousine,-1,Unfallfrei
Mercedes-Benz C 180 Kompressor Avantgarde,3.799 €,130.753 km,1.796 cm³,105 kW (143 PS),Benzin,Automatik,-1,12/2002,5,4/5,Euro4,Limousine,2,-1
Mercedes-Benz CL 180 Kompressor=HU & AU NEU=TOP ZUSTAND=EXTRAS,3.950 €,230.330 km,1.796 cm³,105 kW (143 PS),Benzin,Schaltgetriebe,-1,01/2003,4,2/3,Euro4,Sportwagen / Coupé,-1,Unfallfrei
"Mercedes-Benz Mercedes Benz E320 V6 ,7 Sitze,Voll Ausst...",3.399 €,352.883 km,-1,-1,Diesel,Automatik,-1,12/2007,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz E-Klasse 320 CDI Avantgarde ...,4.000 €,298.000 km,-1,184 kW (250 PS),Diesel,Automatik,-1,01/2005,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes-Benz E-klasse 220,3.500 €,380.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,12/2004,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz E-Klasse 320 CDI Avantgarde ...,4.000 €,298.000 km,-1,184 kW (250 PS),Diesel,Automatik,-1,01/2005,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes-Benz E-klasse 220,3.500 €,380.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,12/2004,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz E 200k S210 T-Modell Elegance,3.699 €,237.600 km,-1,120 kW (163 PS),Benzin,Automatik,-1,10/2002,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz A -Klasse A 180 Panoramadach,3.150 €,210.900 km,1.699 cm³,85 kW (116 PS),Benzin,Schaltgetriebe,-1,07/2010,5,4/5,Euro5,Kleinwagen,2,-1
Mercedes-Benz B -Klasse B 200 CDI,3.930 €,105.000 km,1.991 cm³,103 kW (140 PS),Diesel,Automatik,-1,05/2007,5,4/5,Euro4,Van / Minibus,2,Unfallfrei
Mercedes-Benz E 220 CDI·1.Hand·95000km·Leder·Klima·Tempomat,3.950 €,95.000 km,2.148 cm³,110 kW (150 PS),Diesel,Schaltgetriebe,-1,11/2002,5,4/5,Euro4,Limousine,1,Unfallfrei
Mercedes-Benz A -Klasse A 180 CDI,3.800 € (Brutto),150.300 km,1.991 cm³,80 kW (109 PS),Diesel,Schaltgetriebe,-1,06/2010,5,4/5,-1,Kleinwagen,2,Unfallfrei
Mercedes-Benz A -Klasse A 150 * PDC V/H * Tüv 12.2022 * Klima,3.690 €,180.500 km,1.498 cm³,70 kW (95 PS),"Benzin, E10-geeignet",Automatik,-1,08/2005,5,4/5,Euro4,Kleinwagen,-1,Unfallfrei
Mercedes-Benz Mercedes Benz,4.000 €,290.000 km,-1,129 kW (175 PS),Diesel,Automatik,-1,12/2004,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes-Benz C 180,3.200 €,140.000 km,-1,107 kW (145 PS),Benzin,Automatik,-1,07/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes B170! Tüv neu!Automatik!,3.200 €,146.000 km,-1,85 kW (116 PS),Benzin,Automatik,-1,09/2005,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes E320,4.000 €,270.000 km,-1,-1,Diesel,Automatik,-1,10/2004,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Ein sehr gut erhaltenes Auto,3.000 €,180.000 km,-1,70 kW (95 PS),Diesel,Schaltgetriebe,-1,08/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes benz e280 benziner...motor schaden,3.000 €,236.500 km,-1,170 kW (231 PS),Benzin,Automatik,-1,03/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz A 160 L Elegance+Rosfrei+AHK+Scheckheft,3.700 €,120.000 km,1.598 cm³,75 kW (102 PS),Benzin,Automatik,-1,05/2002,5,4/5,Euro4,Limousine,-1,Unfallfrei
Mercedes-Benz Mercedes benz E 280 CDl,3.600 €,226.437 km,-1,140 kW (190 PS),Diesel,Automatik,-1,10/2005,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes A 170 tausch!!,3.599 €,147.000 km,-1,85 kW (116 PS),Benzin,Schaltgetriebe,-1,12/2005,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes Benz S 500 L 5.0 benzin,3.750 €,400.000 km,-1,225 kW (306 PS),Benzin,Automatik,-1,12/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz !!!!Mercedes E320 für Export !!!!,3.900 €,211.000 km,-1,165 kW (224 PS),Benzin,Automatik,-1,07/2002,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz A-Klasse 150 Top Zustand,4.000 €,97.543 km,-1,70 kW (95 PS),Benzin,Automatik,-1,03/2005,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercdes B klass 200 Wie Neüe,3.500 €,200.000 km,-1,-1,Diesel,Automatik,-1,12/2005,-1,-1,-1,Kleinwagen,-1,-1
Mercedes-Benz Mercedes B200,4.000 €,197.400 km,-1,-1,Benzin,-1,-1,06/2006,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Roadster SLK 200 Kompressor,3.980 €,162.500 km,1.998 cm³,120 kW (163 PS),Benzin,Schaltgetriebe,-1,11/2002,2,2/3,Euro4,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz A 150+TÜV neu+MFL+Alufelgen+Klima+Sitzheizung,3.998 €,99.582 km,1.498 cm³,70 kW (95 PS),Benzin,Schaltgetriebe,-1,04/2008,5,2/3,Euro4,Limousine,5,-1
Mercedes-Benz Mercedes Benz B200 turbo,3.500 €,163.000 km,-1,142 kW (193 PS),Benzin,Automatik,-1,07/2006,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 200 T CDI Classic DPF,3.350 €,279.858 km,2.148 cm³,90 kW (122 PS),Diesel,Schaltgetriebe,-1,06/2004,5,4/5,Euro4,Kombi,-1,Unfallfrei
Mercedes-Benz A 180 CDI Avantgarde,3.400 €,159.000 km,1.991 cm³,80 kW (109 PS),Diesel,Schaltgetriebe,-1,02/2006,5,4/5,Euro4,Limousine,-1,-1
"Mercedes-Benz A 170 ,Tüv neu,Scheckheftgepflegt,Navi",3.990 €,74.600 km,1.699 cm³,85 kW (116 PS),Benzin,Schaltgetriebe,-1,07/2005,5,4/5,Euro4,Limousine,2,Unfallfrei
Mercedes-Benz Mercedes C Klasse 220 CDI Avantgarde,3.300 €,211.000 km,-1,105 kW (143 PS),Diesel,Automatik,-1,03/2003,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes E 270 CDI,3.499 €,261.165 km,-1,-1,Diesel,Automatik,-1,06/2003,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes c-klasse 220d,3.600 €,254.000 km,-1,110 kW (150 PS),Diesel,Automatik,-1,05/2005,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz A -Klasse A 160 CDI,3.200 €,152.824 km,1.991 cm³,60 kW (82 PS),Diesel,Schaltgetriebe,-1,06/2012,5,4/5,Euro5,Kleinwagen,2,Unfallfrei
Mercedes-Benz Mercedes-Benz a200,3.999 €,129.462 km,-1,100 kW (136 PS),Benzin,Schaltgetriebe,-1,04/2005,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Vito 111 CDI Lang 5 Sitzplätze,4.000 €,213.700 km,2.148 cm³,85 kW (116 PS),Diesel,Schaltgetriebe,-1,09/2008,5,4/5,Euro4,Van / Minibus,2,Unfallfrei
"Mercedes-Benz A 170 Avantgarde (AHK, Panoramadach und HU 2022)",3.000 €,182.000 km,1.699 cm³,85 kW (116 PS),Benzin,Schaltgetriebe,-1,01/2005,5,4/5,Euro4,Limousine,4,Unfallfrei
Mercedes-Benz Mercedes E320 CDI Sportpacket 3.Hand,3.999 €,196.554 km,-1,165 kW (224 PS),Diesel,Automatik,-1,08/2005,-1,-1,-1,Limousine,-1,-1
"Mercedes-Benz E -Klasse Lim. E 220 CDI, Tüv und AU neu,guter Z",3.990 €,237.033 km,2.148 cm³,110 kW (150 PS),Diesel,Automatik,-1,05/2005,5,4/5,Euro3,Limousine,3,-1
