carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz Vito Kasten 114 CDI 4x4 kompakt EU6,16.820 € (Brutto),141.577 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,2016,12/2016,3,4/5,Euro6,Andere,-1,-1
Mercedes-Benz Mercedes S500L Black Series Prio Design ta...,15.090 €,177.000 km,-1,285 kW (387 PS),-1,-1,-1,10/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes S500L Black Series Prio Design ta...,15.090 €,177.000 km,-1,285 kW (387 PS),-1,-1,-1,10/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes E-klasse W212/S212 350 CDU EURO 6,14.250 €,193.000 km,-1,155 kW (211 PS),Diesel,Automatik,-1,10/2010,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz GLK 220 BlueTEC 4MATIC Navi/ILS/ChromP/PTS/2.Hd,15.490 €,173.800 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,04/2013,5,4/5,Euro5,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz Mercedes Sprinter 516 CDI Kühlkoffer,15.500 €,400.000 km,-1,118 kW (160 PS),Diesel,Schaltgetriebe,-1,07/2013,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz C 180 CDI AVANTGARDE*LEDER*GPS*EXP.12500,-EUR",14.500 € (Brutto),64.000 km,-1,85 kW (116 PS),Diesel,Schaltgetriebe,-1,07/2015,5,4/5,Euro6,Limousine,-1,Unfallfrei
Mercedes-Benz Vito 114 CDI/BlueTEC*Lang*Navi*1.Hand*Klima*,14.890 € (Brutto),142.082 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,-1,08/2016,3,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz C -Klasse T-Modell C 220*Navi*PDCs*Kamera*SHZ*,15.990 € (Brutto),135.700 km,2.143 cm³,125 kW (170 PS),Diesel,Schaltgetriebe,-1,09/2016,5,4/5,Euro6,Kombi,-1,Unfallfrei
Mercedes-Benz Mercedes-Benz CLS 250 CDI 7G-TRONIC,17.000 €,157.000 km,-1,150 kW (204 PS),Diesel,Automatik,-1,11/2013,-1,-1,-1,Sportwagen / Coupé,-1,-1
"Mercedes-Benz B 180 Style, LED, Klimaanlage, Totwinkelassis.,",14.280 €,46.900 km,1.595 cm³,90 kW (122 PS),Benzin,Schaltgetriebe,-1,02/2015,5,4/5,Euro6,Limousine,1,-1
