carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
"Mercedes-Benz GLE 500 4MATIC,Leder,Navi,360°Kamera,Tel,PDC,Shz",34.290 € (Brutto),60.700 km,4.663 cm³,320 kW (435 PS),Benzin,Automatik,-1,12/2015,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
"Mercedes-Benz E 220 d Avantgarde 9G Night LED Volldigi 18"" LM",36.890 € (Brutto),15.655 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,08/2019,5,4/5,-1,Limousine,1,Unfallfrei
Mercedes-Benz Biete Superschnellen AMG A 45 Allrad Au...,34.800 €,67.721 km,-1,280 kW (381 PS),Benzin,Automatik,-1,03/2017,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz SLC 300 AMG-LINE/NIGHT-PAKET/LED/HARMAN-KARDON,38.900 €,49.500 km,1.991 cm³,180 kW (245 PS),Benzin,Automatik,-1,01/2017,2,2/3,Euro6,Cabrio / Roadster,-1,-1
Mercedes-Benz Verkaufe ein Mercedes V-Klasse EDITION kom...,35.599 €,49.500 km,-1,140 kW (190 PS),Diesel,Automatik,-1,11/2017,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz AMG Line C 400 T 4Matic LINE*DISTR*PANO*DAB*NAV,38.990 € (Brutto),9.200 km,2.996 cm³,245 kW (333 PS),Benzin,Automatik,-1,11/2019,5,4/5,Euro6d-TEMP,Kombi,1,-1
Mercedes-Benz CLA 220 Coupé AMG Navi/LED/Night/Kamera/Ambiente,35.900 € (Brutto),17.400 km,1.991 cm³,140 kW (190 PS),"Benzin, E10-geeignet",Automatik,2019,08/2019,5,4/5,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz CLA 220 Coupé AMG Navi/LED/Night/Kamera/Ambiente,35.900 € (Brutto),17.400 km,1.991 cm³,140 kW (190 PS),"Benzin, E10-geeignet",Automatik,2019,08/2019,5,4/5,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz C 200 Coupé 4M AMG Burmester/Pano./Night/Kamera,37.900 € (Brutto),23.000 km,1.991 cm³,135 kW (184 PS),"Benzin, E10-geeignet",Automatik,2018,03/2018,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz C 200 Coupé 4M AMG Burmester/Pano./Night/Kamera,37.900 € (Brutto),23.000 km,1.991 cm³,135 kW (184 PS),"Benzin, E10-geeignet",Automatik,2018,03/2018,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz C 200 d Lim. Aut. AMG LED PANO AMBIENTE NAVI RFK,35.895 € (Brutto),23.700 km,1.597 cm³,118 kW (160 PS),Diesel,Automatik,-1,08/2019,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
Mercedes-Benz C 300 Coupé AMG COMAND/HuD/Burm/Pano/360°/Memory,37.900 € (Brutto),20.000 km,1.991 cm³,180 kW (245 PS),"Benzin, E10-geeignet",Automatik,2017,08/2017,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz C 300 Coupé AMG COMAND/HuD/Burm/Pano/360°/Memory,37.900 € (Brutto),20.000 km,1.991 cm³,180 kW (245 PS),"Benzin, E10-geeignet",Automatik,2017,08/2017,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLC 250d AMG COMAND/LED/360°/Standheizung/Night/,35.900 € (Brutto),67.800 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,2017,05/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz GLC 250d AMG COMAND/LED/360°/Standheizung/Night/,35.900 € (Brutto),67.800 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,2017,05/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz GLC 250 4M Coupé 2x AMG Line LED Navi Kam Leder,36.880 € (Brutto),100.000 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,2017,08/2017,5,4/5,Euro6,Sportwagen / Coupé,1,-1
"Mercedes-Benz GLC350 Coupé 4M 2x AMG ILS 19"" Fahr Ass+ HeadUp",36.880 € (Brutto),139.179 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,2017,10/2017,5,4/5,Euro6,Sportwagen / Coupé,1,Unfallfrei
"Mercedes-Benz E 220 d T 9G-TRONIC Exclusive, viele Extras",34.999 €,68.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,06/2017,5,4/5,Euro6,Kombi,-1,Unfallfrei
Mercedes-Benz V 250 (BlueTEC) d lang 7G-TRONIC Edition,38.000 €,32.000 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,-1,04/2017,7,4/5,Euro6,Van / Minibus,2,-1
Mercedes-Benz V 250d Avantgarde Lang *WIR SIND FÜR SIE DA*,35.999 €,88.950 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,-1,05/2015,7,4/5,Euro6,Van / Minibus,2,-1
"Mercedes-Benz E 220 d T Excl.,AHK,Pano,Distr.,Wides.,Sitzklima",35.689 € (Brutto),107.640 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,12/2018,5,4/5,Euro6d-TEMP,Kombi,1,Unfallfrei
