carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz A 180 Progressive LED Navi Kamera Spurh.-Ass. SH,22.385 € (Brutto),19.987 km,1.332 cm³,100 kW (136 PS),Benzin,Schaltgetriebe,-1,12/2018,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
Mercedes-Benz Mercedes Benz C 180 AMG Line (Night-Paket),24.000 €,122.000 km,-1,115 kW (156 PS),Benzin,Automatik,-1,09/2015,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz A -Klasse A 160 Style 1 Hd. 435 km NEUZUSTAND,22.990 €,435 km,1.332 cm³,80 kW (109 PS),"Benzin, E10-geeignet",Schaltgetriebe,-1,09/2020,5,4/5,Euro6d-TEMP,"Limousine, Tageszulassung",1,Unfallfrei
"Mercedes-Benz C 250d 4matic, AMG, Burmester, Distronic, Night",23.900 € (Brutto),125.500 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,02/2016,5,4/5,Euro6,Kombi,2,Unfallfrei
Mercedes-Benz Mercedes SLK sensationelle Farbkombination...,21.900 €,43.000 km,-1,-1,Benzin,Automatik,-1,04/2014,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz CLA 200 AMG Line / Sehr Gepflegt!,22.400 €,62.000 km,1.595 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,-1,07/2016,5,4/5,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz Mercedes E 350 BlueTec - Comand - Ambiente...,22.000 €,163.000 km,-1,185 kW (252 PS),Diesel,Automatik,-1,01/2013,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 350 Coupe | C63 Umbau | Pano | Voll,22.750 €,79.850 km,3.498 cm³,225 kW (306 PS),Benzin,Automatik,-1,01/2012,4,2/3,Euro5,Sportwagen / Coupé,-1,-1
Mercedes-Benz E 500 T-Modell 7G-TRONIC Avantgarde MB Garantie,23.800 €,120.000 km,4.663 cm³,300 kW (408 PS),Benzin,Automatik,-1,07/2011,5,4/5,Euro5,Kombi,2,Unfallfrei
Mercedes-Benz E220 AVANGARD LIMOUSIN PANORAMADACH,24.000 €,230.000 km,-1,143 kW (194 PS),Diesel,Automatik,-1,07/2016,-1,-1,-1,Limousine,-1,-1
"Mercedes-Benz GLK 350 CDI 4M,Distr+,Panorama,20"",Leder,BiXenon",22.850 €,109.934 km,2.987 cm³,195 kW (265 PS),Diesel,Automatik,2012,09/2012,5,4/5,Euro5,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz SLK 200 AMG Line PANORAMA++COMAND+AIRSCARF+KLIMA,23.490 €,60.267 km,1.796 cm³,135 kW (184 PS),Benzin,Automatik,-1,01/2012,2,2/3,Euro5,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz GLA 200 d Urban LED/AHK/Navi/PDC,23.980 € (Brutto),35.906 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,-1,11/2018,5,4/5,Euro6c,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz C 200 AMG Line,21.900 €,80.500 km,1.991 cm³,135 kW (184 PS),Benzin,Schaltgetriebe,-1,07/2014,5,4/5,Euro6,Limousine,-1,Unfallfrei
"Mercedes-Benz CLA 220 SB d AMG,Nightp.,Navi,PDC,LED,PanoDach",21.943 €,96.848 km,2.143 cm³,130 kW (177 PS),Diesel,Automatik,-1,11/2015,5,4/5,Euro6,Kombi,-1,Unfallfrei
"Mercedes-Benz CLA 220 SB d AMG,Nightp.,Navi,PDC,LED,PanoDach",21.943 €,96.848 km,2.143 cm³,130 kW (177 PS),Diesel,Automatik,-1,11/2015,5,4/5,Euro6,Kombi,-1,Unfallfrei
"Mercedes-Benz C 220 d T 4M Avantgarde Distronic, AHK, LED, Tot",22.890 € (Brutto),69.519 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,11/2017,5,4/5,Euro6,Kombi,1,Unfallfrei
Mercedes-Benz Viano 3.0 CDI V6 Edition lang Teilleder 6 Sitzer,21.590 €,111.125 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,06/2011,6,4/5,Euro5,Van / Minibus,1,Unfallfrei
Mercedes-Benz Mercedes Sprinter Autotransporter lift kli...,22.222 €,175.000 km,-1,96 kW (131 PS),Diesel,Automatik,-1,11/2013,-1,-1,-1,Andere,-1,-1
Mercedes-Benz GLA 250 Sport Utility Vehicle Urban*Kamera*PDC,22.399 € (Brutto),65.820 km,1.991 cm³,155 kW (211 PS),Benzin,Schaltgetriebe,-1,11/2016,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz ML 250 BlueTEC 4MATIC 7G-TRONIC Edition 1,23.900 €,116.690 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,01/2012,5,4/5,Euro6,SUV / Geländewagen / Pickup,2,Unfallfrei
"Mercedes-Benz Vito Tourer 116 CDI EXTRALANG 9 SITZE KAMERA,SH",23.880 € (Brutto),26.739 km,2.143 cm³,120 kW (163 PS),Diesel,Automatik,-1,10/2016,9,4/5,Euro6,Kombi,1,-1
Mercedes-Benz E 200 7G-DCT Comand+ILS+HK-Sound+Airscarf+Aircap,23.420 €,43.500 km,1.796 cm³,135 kW (184 PS),"Benzin, E10-geeignet",Automatik,2012,08/2012,4,2/3,Euro5,Cabrio / Roadster,3,Unfallfrei
Mercedes-Benz C220 T 9G. AMG Line PANOR+STANDHZ+LED+KAM+NIGHT+,23.750 € (Brutto),84.362 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,10/2017,5,4/5,Euro6,Kombi,1,-1
Mercedes-Benz C 220 T 9G AMG Line >AIRMAT.+LED+DAB+ACC+COMAND+,21.650 € (Brutto),119.517 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,04/2017,5,4/5,Euro6,Kombi,1,-1
Mercedes-Benz C220d T 7G. AMG Line >LED+NAVI+PANOR+LEDER+ACC+,21.950 € (Brutto),109.989 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,08/2016,5,4/5,Euro6,Kombi,1,-1
Mercedes-Benz SLK 200 (BlueEFFICIENCY),21.000 €,80.963 km,1.796 cm³,135 kW (184 PS),Benzin,Schaltgetriebe,-1,02/2013,2,2/3,Euro5,Cabrio / Roadster,-1,Unfallfrei
Mercedes-Benz CLA 180 Urban Aut. Navi Xenon Leder Panor. SHZ,21.900 €,91.500 km,1.595 cm³,90 kW (122 PS),Benzin,Automatik,-1,04/2015,5,4/5,Euro6,Limousine,2,Unfallfrei
Mercedes-Benz C 300 T BlueTEC Hybrid Panorama Leder Camera LED,22.900 € (Brutto),146.000 km,2.145 cm³,150 kW (204 PS),Diesel,Automatik,-1,06/2017,5,4/5,Euro6,Kombi,-1,-1
Mercedes-Benz E200 d T-Modell AMG Multibeam Navi Kamera AHK,22.990 €,122.000 km,1.950 cm³,110 kW (150 PS),Diesel,Automatik,-1,05/2017,5,4/5,Euro6,Kombi,-1,-1
Mercedes-Benz C 200 CGI 7G-Tronic/NAVI/SITZHEIZUNG/LED/PDC/,22.850 €,79.000 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,-1,03/2015,5,4/5,Euro6,Limousine,-1,-1
Mercedes-Benz E 220 d*COMAND*ToT*KEYFREE*LED*AMBiENTE*PTS*RKAM,23.950 € (Brutto),175.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,02/2017,5,4/5,Euro6,Limousine,1,-1
Mercedes-Benz Mercedes Benz CLS 350 CDI 4 -Matic AMG ...,21.700 €,142.723 km,-1,195 kW (265 PS),Diesel,Automatik,-1,07/2015,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz E 250 BlueTEC* 4M.*AMG*7G-Tr.*Navi*Leder*Keyless,22.950 €,103.608 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,11/2014,5,4/5,Euro6,Limousine,2,Unfallfrei
Mercedes-Benz E 200 CGI BlueEfficiency*II.Hand*Automatik*PDC*,21.490 €,97.562 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,-1,05/2016,5,4/5,Euro6,Kombi,2,Unfallfrei
Mercedes-Benz E 200 CGI BlueEfficiency*II.Hand*Automatik*PDC*,21.490 €,97.562 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,-1,05/2016,5,4/5,Euro6,Kombi,2,Unfallfrei
Mercedes-Benz R 350 CDI Lang 7Sitze Pano AHK Edition1 AMG Kame,21.999 € (Brutto),158.400 km,2.987 cm³,195 kW (265 PS),Diesel,Automatik,-1,10/2012,7,4/5,Euro5,Van / Minibus,2,Unfallfrei
Mercedes-Benz E 200 Coupé 7G*1.HAND*T.LEDER*NAVI*LED*PANO,21.990 €,68.000 km,1.991 cm³,135 kW (184 PS),Benzin,Automatik,-1,04/2015,4,2/3,Euro6,Sportwagen / Coupé,1,-1
"Mercedes-Benz Vito 114TourerPro,lang,2xKlima,7GT,Navi,Tempomat",23.999 € (Brutto),65.695 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,-1,06/2017,9,4/5,Euro6,Van / Minibus,2,-1
