carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz S 63 AMG EXCLUSIV/BURMESTER/TV/DRIVERSPAC/HEADUP,115.900 € (Brutto),42.162 km,4.663 cm³,430 kW (585 PS),Benzin,Automatik,-1,06/2018,4,2/3,Euro6,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz S 600 Guard org. Werkspanzer / Armoured VR7,117.215 € (Brutto),34.703 km,5.513 cm³,380 kW (517 PS),Benzin,Automatik,-1,11/2012,5,4/5,Euro4,Limousine,1,-1
Mercedes-Benz AMG GT C Roadster DISTRONIC PRO Widescreen MY20,122.800 € (Brutto),25.900 km,3.982 cm³,410 kW (557 PS),Benzin,Automatik,-1,11/2019,2,2/3,Euro6,Cabrio / Roadster,1,-1
Mercedes-Benz S63 AMG Coupe 4M+ MagicSky Nachtsicht+ Sitzlüft.,128.489 € (Brutto),18.800 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,08/2019,4,2/3,Euro6d-TEMP,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz G 500 AMG Standhzg,360°,Lenkradhzg,Burm.",123.300 € (Brutto),61.000 km,3.982 cm³,310 kW (421 PS),Benzin,Automatik,-1,07/2018,5,4/5,-1,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz SUCHE Mercedes C124 W124 Coupé,123.456 €,555.555 km,-1,-1,-1,-1,-1,01/1990,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz Mercedes-AMG S 63 4MATIC+ Keramik,4 Sitzpl.,VOLL",138.900 € (Brutto),14.905 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,03/2019,4,4/5,Euro6,Limousine,2,-1
Mercedes-Benz GLE 580 V8 *AMG 7 Sitz Panora/AHK/Standhzg/HeadU,119.000 € (Brutto),1.200 km,3.982 cm³,376 kW (511 PS),Benzin,Automatik,-1,09/2020,7,4/5,Euro6d,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLE 53 AMG Coupe*AHK/Panora/HUD/22/NightPak*,122.570 € (Brutto),60 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,-1,07/2020,5,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Tageszulassung",-1,-1
Mercedes-Benz AMG GT 63 4M+DIENSTWAGEN*AHK*MASSAGE*SCHIEBEDACH,132.750 € (Brutto),27.581 km,3.982 cm³,430 kW (585 PS),Benzin,Automatik,-1,03/2020,4,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",-1,Unfallfrei
Mercedes-Benz G 65 AMG Designo Magno/Interieur Designo Carbon,129.900 €,63.589 km,5.980 cm³,450 kW (612 PS),Benzin,Automatik,-1,12/2013,5,4/5,Euro5,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz Mercedes Benz 280 C Cabrio +++ Topp Wertan...,135.000 €,67.239 km,-1,114 kW (155 PS),Benzin,Schaltgetriebe,-1,04/1971,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz AMG GT R Coupe Carbon-NightPak-Schalensitz-Kam,129.585 €,19.500 km,3.982 cm³,430 kW (585 PS),Benzin,Automatik,-1,05/2018,2,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz C-Klasse Cabrio C 63 S AMG Blue Ocean Edit.neu !,127.500 € (Brutto),96 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,08/2017,4,2/3,Euro6,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz AMG GT C°DESIGNO°PERFORMANCE°DRIVERS P°FACELIFT,138.557 € (Brutto),33.980 km,3.982 cm³,410 kW (557 PS),Benzin,Automatik,-1,05/2019,2,2/3,Euro6c,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz S 400 d 4M Lang AMG-Line neues Modell,139.825 € (Brutto),7.650 km,2.925 cm³,243 kW (330 PS),"Diesel, Biodiesel geeignet",Automatik,-1,12/2020,5,4/5,Euro6c,Limousine,1,Unfallfrei
Mercedes-Benz AMG S 63 4M+ lang Comand 360° Pano Distronic,118.897 € (Brutto),8.451 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,09/2018,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
Mercedes-Benz S 63 4M L AMG Exclusive Nachtsicht Aktiv MultiK,118.897 € (Brutto),15.084 km,3.982 cm³,450 kW (612 PS),"Benzin, E10-geeignet",Automatik,2018,04/2018,5,4/5,Euro6d-TEMP,Limousine,2,Unfallfrei
"Mercedes-Benz G500**AMG LINE**NIGHTPAKET**21""AMG**BURMESTER**",139.700 €,6.000 km,3.982 cm³,310 kW (421 PS),Benzin,Automatik,-1,07/2020,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz AMG GT C Coupe*SPORTABGAS*NIGHT-PAKET*LED*PANO*,119.980 €,5.050 km,3.982 cm³,410 kW (557 PS),Benzin,Automatik,-1,07/2020,2,2/3,Euro6,Sportwagen / Coupé,-1,-1
Mercedes-Benz AMG GT R Coupe Neuwagenzustand seltene Farbe,136.900 € (Brutto),7.900 km,3.982 cm³,430 kW (585 PS),Benzin,Automatik,-1,10/2018,2,2/3,-1,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLE 53 AMG Coupe 4M-Mod21 Carbon-Leather red-2TV,115.950 € (Brutto),8 km,2.999 cm³,320 kW (435 PS),Hybrid (Benzin/Elektro),Automatik,-1,12/2020,5,4/5,-1,Sportwagen / Coupé,-1,Unfallfrei
Mercedes-Benz GLE 53 AMG Coupe 4M-Mod21 Carbon-Leather red-2TV,115.950 € (Brutto),8 km,2.999 cm³,320 kW (435 PS),Hybrid (Benzin/Elektro),Automatik,-1,12/2020,5,4/5,-1,Sportwagen / Coupé,-1,Unfallfrei
Mercedes-Benz G350d AMG LINE WIDESCREEN IHC SHD AHK WEBASTO,119.990 € (Brutto),23.980 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,11/2019,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
"Mercedes-Benz GLS 580 AMG 4M.AMG 2021.PANO.HEADUP 23""Z FOND.P",127.999 € (Brutto),50 km,-1,360 kW (489 PS),Benzin,Automatik,-1,12/2020,7,4/5,Euro6d,"SUV / Geländewagen / Pickup, Tageszulassung",-1,Unfallfrei
Mercedes-Benz AMG Cp. Keramik Carbon Perf-Sitze Perf-Abgas,137.900 € (Brutto),5.232 km,3.982 cm³,384 kW (522 PS),Benzin,Automatik,-1,08/2020,-1,2/3,Euro6d,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 500 L 4M AMG Burmester 3D Fondent 360° Airmat,129.900 € (Brutto),8.500 km,2.999 cm³,320 kW (435 PS),"Benzin, E10-geeignet",Automatik,-1,12/2020,-1,4/5,Euro6d,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 400 d L 4M Burmester 3D 360° Airmat Pano HUD,119.900 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,12/2020,-1,4/5,Euro6,"Limousine, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz AMG GT R*1.Hd*Track Pack*Carbon*Leder Exklusiv*,136.890 € (Brutto),3.504 km,3.982 cm³,430 kW (585 PS),Benzin,Automatik,-1,01/2018,2,2/3,Euro6c,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz AMG GT C Roadster*1.Hd*Burmester*Exklusiv Saddle,124.890 € (Brutto),16.768 km,3.982 cm³,410 kW (557 PS),Benzin,Automatik,-1,08/2017,2,2/3,Euro6c,Cabrio / Roadster,1,Unfallfrei
Mercedes-Benz GLS 580 4M 360|PANO|NIGHT|BURMESTER|23|IN STOCK!,126.990 € (Brutto),29 km,3.982 cm³,376 kW (511 PS),Hybrid (Benzin/Elektro),Automatik,-1,12/2020,7,4/5,Euro6d-TEMP,"SUV / Geländewagen / Pickup, Tageszulassung",1,Unfallfrei
"Mercedes-Benz G 500 AMG-LINE | BURMESTER | NIGHT-PAKET | 20""",143.900 €,6.500 km,3.982 cm³,310 kW (421 PS),Benzin,Automatik,-1,09/2020,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz AMG GT S Night+Comand+RüKam+LED+Pano+NP:185.800,133.874 € (Brutto),7.778 km,3.982 cm³,384 kW (522 PS),Benzin,Automatik,-1,06/2020,2,2/3,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,-1
Mercedes-Benz AMG GT C Rü.Kam./Distronic/PanoDach/Parktronic/,119.893 € (Brutto),5.200 km,3.982 cm³,410 kW (557 PS),Benzin,Automatik,-1,11/2018,2,2/3,Euro6,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz G 65 AMG designo Fond-Entertainm. Soundsystem TV,129.760 €,42.490 km,5.980 cm³,450 kW (612 PS),Benzin,Automatik,-1,12/2013,5,4/5,Euro5,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz AMG GT 63 4M+ DISTRONIC WIDESCREEN Night 360°,118.477 € (Brutto),9.384 km,3.982 cm³,430 kW (585 PS),Benzin,Automatik,-1,06/2019,4,4/5,Euro6,Sportwagen / Coupé,1,-1
Mercedes-Benz AMG GT 63 4M+DIENSTWAGEN*AHK*MASSAGE*SCHIEBEDACH,132.750 € (Brutto),27.581 km,3.982 cm³,430 kW (585 PS),Benzin,Automatik,-1,03/2020,4,4/5,Euro6d-TEMP,"Limousine, Jahreswagen",-1,Unfallfrei
Mercedes-Benz S 63 AMG 4M+ Coupe Drivers.Fahrass.Stdhzg.Nachts,130.274 € (Brutto),23.400 km,3.982 cm³,450 kW (612 PS),"Benzin, E10-geeignet",Automatik,-1,10/2018,4,2/3,Euro6,Sportwagen / Coupé,1,-1
Mercedes-Benz G 500 AMG designo WideScreen 360° Multibeam SHD,133.352 € (Brutto),36.763 km,3.982 cm³,310 kW (421 PS),"Benzin, E10-geeignet",Automatik,-1,08/2019,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,1,Unfallfrei
