carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz B -Klasse B 180 CDI Automatik Sitzheizung Navi,6.500 €,120.000 km,1.991 cm³,80 kW (109 PS),"Diesel, Biodiesel geeignet",Automatik,-1,11/2007,5,4/5,Euro4,Van / Minibus,2,Unfallfrei
Mercedes-Benz Mercedes-Benz CLC 200 Kompressor,6.450 €,129.000 km,-1,135 kW (184 PS),Benzin,Schaltgetriebe,-1,06/2009,-1,-1,-1,Sportwagen / Coupé,-1,-1
Mercedes-Benz Mercedes C180 Top Zustand,7.500 €,161.500 km,-1,115 kW (156 PS),Benzin,Schaltgetriebe,-1,02/2008,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes C Klasse 180 Kompressor Wenig km TÜV,7.700 €,153.500 km,-1,115 kW (156 PS),Benzin,Schaltgetriebe,-1,08/2008,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz DB Sprinter Pritsche W906 Doka,6.250 €,260.000 km,-1,80 kW (109 PS),Diesel,Schaltgetriebe,-1,10/2006,-1,-1,-1,Andere,-1,-1
Mercedes-Benz Mercedes R 320 4 Matic,6.800 €,299.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,08/2006,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes-Benz E200 CDI | Elegance | Automa...,7.999 €,281.500 km,-1,100 kW (136 PS),Diesel,Automatik,-1,05/2010,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz | E200 | Elegance | BlueEffi...,7.999 €,281.500 km,-1,100 kW (136 PS),Diesel,Automatik,-1,05/2010,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 180 T Kompressor mit Autogas *gepflegt*,6.500 €,142.386 km,1.796 cm³,105 kW (143 PS),Autogas (LPG),Automatik,-1,02/2006,5,4/5,Euro4,Kombi,2,Unfallfrei
Mercedes-Benz C 200 T Kompressor Automatik / Inspektion NEU,7.490 €,133.000 km,1.796 cm³,135 kW (184 PS),Benzin,Automatik,-1,06/2009,5,4/5,Euro4,Kombi,3,-1
Mercedes-Benz C 220 T CDI Automatik Xenon Navi PDC Klima SHZ,7.950 € (Brutto),229.595 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,09/2012,5,4/5,Euro5,Kombi,2,-1
Mercedes-Benz Mercedes Vito 111CDI / W639/4,6.500 €,216.000 km,-1,84 kW (114 PS),Diesel,Schaltgetriebe,-1,06/2008,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Vito 109 CDI lang Klima 8-Sitzer*1A-Zustand*,7.390 €,195.000 km,2.148 cm³,70 kW (95 PS),Diesel,Schaltgetriebe,-1,03/2007,8,4/5,Euro4,Van / Minibus,2,-1
Mercedes-Benz Mercedes Benz E-Klasse 220 CDI Kombi Stand...,6.900 €,217.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,06/2009,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz E-Klasse 220 CDI Kombi Stand...,6.900 €,217.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,06/2009,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz B 200 Autotronic,6.200 €,120.990 km,2.034 cm³,100 kW (136 PS),Benzin,Automatik,-1,05/2008,5,4/5,Euro4,Van / Minibus,2,Reparierter Unfallschaden
Mercedes-Benz C 200CDI Aut. Avantgarde Navi*Teilleder*Glasdach,6.980 €,236.000 km,2.143 cm³,100 kW (136 PS),Diesel,Automatik,-1,01/2010,5,4/5,Euro5,Limousine,2,-1
Mercedes-Benz E 200 KOMPRESSOR AUTOMATIK LEDER PDC HU/AU NEU !,6.999 €,120.000 km,1.796 cm³,135 kW (184 PS),Benzin,Schaltgetriebe,-1,08/2007,5,4/5,-1,Limousine,2,Unfallfrei
Mercedes-Benz E 350 7G-TRONIC Elegance,6.500 €,207.500 km,3.498 cm³,200 kW (272 PS),Benzin,Automatik,-1,09/2006,5,4/5,Euro4,Limousine,4,Unfallfrei
Mercedes-Benz Mercedes Sprinter 315 CDI,7.000 €,198.401 km,-1,-1,Diesel,Schaltgetriebe,-1,02/2009,-1,-1,-1,Andere,-1,-1
Mercedes-Benz R 320 CDI 4Matic 7G-TRONIC,6.800 €,254.000 km,2.987 cm³,165 kW (224 PS),Diesel,Automatik,-1,07/2006,5,4/5,Euro4,Van / Minibus,3,Unfallfrei
Mercedes-Benz Mercedes Benz S420 AMG //Keyless Go//Massa...,6.700 €,247.605 km,-1,235 kW (320 PS),Diesel,Automatik,-1,08/2008,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz C 250 T CDI *DPF*4Matic*Autom*AMG*Bi-Xenon*Navi*,6.700 €,302.000 km,2.143 cm³,150 kW (204 PS),Diesel,Automatik,-1,05/2011,5,4/5,Euro5,Kombi,2,Unfallfrei
Mercedes-Benz W211 e280 Taxi viele neu teile,6.999 €,338.000 km,-1,140 kW (190 PS),Diesel,Automatik,-1,11/2007,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 180 Kompressor Automatik Avantgarde,7.999 €,130.528 km,1.796 cm³,115 kW (156 PS),Benzin,Automatik,-1,02/2008,5,4/5,-1,Limousine,2,-1
Mercedes-Benz A 160 Autotronic,7.300 €,35.000 km,1.498 cm³,70 kW (95 PS),Benzin,Automatik,-1,03/2011,5,4/5,Euro4,Limousine,2,Reparierter Unfallschaden
Mercedes-Benz Mercedes C220CDI Avantgarde in Top Zustan...,6.950 €,196.500 km,-1,125 kW (170 PS),Diesel,Schaltgetriebe,-1,08/2008,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz E 280 7G-TRONIC Elegance,6.500 €,149.420 km,2.996 cm³,170 kW (231 PS),Benzin,Automatik,-1,02/2006,5,4/5,Euro4,Limousine,2,Unfallfrei
Mercedes-Benz A -Klasse A 160 CDI - Sitzheizung - TüV neu,6.450 €,89.000 km,1.991 cm³,60 kW (82 PS),Diesel,Schaltgetriebe,-1,02/2012,5,4/5,Euro5,Limousine,2,Unfallfrei
Mercedes-Benz Mercedes citan 109 cdi/stop star,7.200 €,138.650 km,-1,66 kW (90 PS),Diesel,Schaltgetriebe,-1,11/2012,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz A -Klasse A 200 Elegance,7.950 €,73.700 km,2.034 cm³,100 kW (136 PS),Benzin,Automatik,-1,02/2006,5,4/5,Euro4,Limousine,-1,-1
"Mercedes-Benz Mercedes-Benz Sprinter 311 CDI L2H2, TÜV n...",6.450 €,139.534 km,-1,80 kW (109 PS),Diesel,Schaltgetriebe,-1,05/2006,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Mercedes-Benz ML 320 4MATIC 7G-TRONIC,7.200 €,220.000 km,-1,171 kW (232 PS),Diesel,Automatik,-1,11/2006,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
"Mercedes-Benz Sprinter 311 CDI L2H2, TÜV neu, wenig KM, Camper",6.450 €,139.534 km,2.148 cm³,80 kW (109 PS),Diesel,Schaltgetriebe,-1,05/2006,3,4/5,Euro4,Van / Minibus,2,Unfallfrei
"Mercedes-Benz Sprinter 311 CDI L2H2, TÜV neu, wenig KM, Camper",6.450 €,139.534 km,2.148 cm³,80 kW (109 PS),Diesel,Schaltgetriebe,-1,05/2006,3,4/5,Euro4,Van / Minibus,2,Unfallfrei
Mercedes-Benz Mercedes-Benz C 220 T CDI DPF BlueEFFICIEN...,7.600 €,229.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,07/2011,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz Mercedes Benz,6.950 €,140.000 km,-1,115 kW (156 PS),Benzin,Schaltgetriebe,-1,05/2008,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz Mercedes-Benz ML 320 CDI / TÜV NEU,6.000 €,240.000 km,-1,165 kW (224 PS),Diesel,Automatik,-1,03/2006,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz Mercedez-benz C220 pack amg,7.000 €,230.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,10/2011,-1,-1,-1,Kombi,-1,-1
Mercedes-Benz C 180 Kompressor+PDC+Sitzheizung **94.086KM**,7.995 €,94.086 km,1.597 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,2008,09/2008,5,4/5,Euro4,Limousine,2,Unfallfrei
"Mercedes-Benz Mercedes-Benz A 160 BlueEFFICIENCY, TÜV 10...",7.495 €,35.613 km,-1,70 kW (95 PS),Benzin,Schaltgetriebe,-1,10/2011,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz T-Modell C 220 T CDI BlueEfficiency 1Hand,6.990 €,187.000 km,2.143 cm³,125 kW (170 PS),Diesel,Schaltgetriebe,-1,07/2009,5,4/5,Euro5,Kombi,1,Unfallfrei
"Mercedes-Benz C 220 T CDI BlueEfficiency Tüv 10/20, Euro 5",7.999 €,210.000 km,2.143 cm³,125 kW (170 PS),Diesel,Automatik,-1,10/2011,5,4/5,Euro5,Kombi,3,-1
Mercedes-Benz Mercedes Benz Vito 113 cdi Kasten,7.350 €,304.000 km,-1,100 kW (136 PS),Diesel,Schaltgetriebe,-1,09/2014,-1,-1,-1,Van / Minibus,-1,-1
Mercedes-Benz Vito 110 CDI Kasten Lang AHK,6.252 € (Brutto),134.680 km,2.143 cm³,70 kW (95 PS),Diesel,Schaltgetriebe,-1,06/2012,-1,-1,Euro5,Van / Minibus,1,Unfallfrei
Mercedes-Benz C 180 Kompressor*Automatik*1.Hand*,7.490 €,78.071 km,1.796 cm³,105 kW (143 PS),Benzin,Automatik,-1,12/2006,5,4/5,Euro4,Limousine,1,-1
Mercedes-Benz C 180 Kompressor AVANTGARDE,7.490 €,131.000 km,1.796 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,-1,11/2008,5,4/5,Euro4,Limousine,2,-1
Mercedes-Benz B 180*1. Hand*,7.990 €,77.400 km,1.699 cm³,85 kW (116 PS),Benzin,Schaltgetriebe,-1,11/2011,5,4/5,Euro5,Van / Minibus,1,-1
Mercedes-Benz Mercedes Citan 108CDI Kasten lang,6.999 €,80.800 km,-1,55 kW (75 PS),Diesel,Schaltgetriebe,-1,02/2013,-1,-1,-1,Andere,-1,-1
"Mercedes-Benz C 180 Kompressor, Elegance, Navi",7.299 €,85.000 km,1.796 cm³,115 kW (156 PS),Benzin,Schaltgetriebe,-1,08/2008,5,4/5,Euro4,Limousine,2,-1
Mercedes-Benz Mercedes Benz E220 T Model,6.100 €,191.000 km,-1,125 kW (170 PS),Diesel,Automatik,-1,12/2006,-1,-1,-1,Kombi,-1,-1
