carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
"Mercedes-Benz V 300 d EDITION Lang AMG Line,LED,Burmester Navi",65.700 € (Brutto),3.300 km,1.950 cm³,176 kW (239 PS),Diesel,Automatik,2020,11/2020,7,4/5,Euro6d-TEMP,"Kombi, Jahreswagen",1,Unfallfrei
Mercedes-Benz AMG Mercedes-AMG GLE 63 S 4MATIC/TOPAUSSTATTUNG,63.750 € (Brutto),71.800 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,03/2016,5,4/5,Euro6,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz AMG Mercedes-AMG GLE 63 S 4MATIC/TOPAUSSTATTUNG,63.750 € (Brutto),71.800 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,03/2016,5,4/5,Euro6,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz V 250 d 4M ED. LANG *AMG*AHK*PANO*360°*6 SITZE*,64.971 € (Brutto),11.572 km,1.950 cm³,140 kW (190 PS),Diesel,Automatik,2019,07/2019,6,4/5,Euro6,Kombi,1,-1
Mercedes-Benz V 250 d 4M ED. LANG *AMG*AHK*PANO*360°*6 SITZE*,64.971 € (Brutto),11.572 km,1.950 cm³,140 kW (190 PS),Diesel,Automatik,2019,07/2019,6,4/5,Euro6,Van / Minibus,1,-1
Mercedes-Benz V 250 d 4M AMG*ED*DISTR*ILS*COMAND*PANO*BURMEST*,64.514 € (Brutto),21.932 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,2019,07/2019,6,4/5,Euro6,Van / Minibus,1,Unfallfrei
Mercedes-Benz V 300 d 4M AMG*360°*7SITZE*LEDER*SOUND*SPORT*ILS,67.592 € (Brutto),9.974 km,1.950 cm³,176 kW (239 PS),Diesel,Automatik,2019,06/2019,7,4/5,Euro6d-TEMP,Van / Minibus,1,-1
Mercedes-Benz Marco Polo V 250 d EDITION *STDHZG*AHK*360*KÜCHE,65.540 € (Brutto),9.978 km,1.950 cm³,140 kW (190 PS),Diesel,Automatik,2019,01/2020,5,4/5,Euro6d-TEMP,Van / Minibus,1,Unfallfrei
Mercedes-Benz E 400 Td 4M All Terr Fahrass Pano HUD Webast AHK,63.142 € (Brutto),19.681 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,2020,02/2020,5,4/5,Euro6d-TEMP,"Kombi, Jahreswagen",1,Unfallfrei
Mercedes-Benz GLE 300 d 4M AMG WideScreen Pano LED Night EDW,62.990 € (Brutto),5.000 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,10/2020,-1,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 560 Long 4Matic Fond TV Kühlschrank MY2018,62.560 € (Brutto),62.000 km,3.982 cm³,345 kW (469 PS),Benzin,Automatik,-1,10/2017,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz E 63 AMG S 4Matic AMG Performance ca. 160 T,65.663 € (Brutto),101.999 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,-1,04/2018,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz GLC 43 AMG 4M Distronic/AHK/Wides/Multibeam/MBUX,63.900 € (Brutto),10.350 km,2.996 cm³,287 kW (390 PS),Benzin,Automatik,2019,12/2019,5,4/5,Euro6d-TEMP,"SUV / Geländewagen / Pickup, Jahreswagen",1,Unfallfrei
