carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz AMG GT S Edition1/CARBON/KERAMIK/601 PS--900NM/,89.999 €,60.000 km,3.982 cm³,442 kW (601 PS),Benzin,Automatik,-1,05/2015,2,2/3,Euro6,Sportwagen / Coupé,-1,-1
"Mercedes-Benz GLE 400 d 4 M AMG+STANDH+HUD+AHK+AIRMATIC+3,5T",89.800 € (Brutto),7.480 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,03/2020,5,4/5,Euro6d,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz GLE 400 d Coupe 4Matic, Standhzg., HUD, AMG Int.",93.990 € (Brutto),300 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,1,Unfallfrei
"Mercedes-Benz G 500 Limited Edition, 2. Hd., MwSt, Designo ...",94.990 € (Brutto),28.000 km,3.982 cm³,310 kW (421 PS),Benzin,Automatik,-1,04/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz S 560 C 4M AMG DESIGNO°SWAROWSKI°MAGIC SKY°NP175,92.560 € (Brutto),65.900 km,3.982 cm³,345 kW (469 PS),Benzin,Automatik,-1,05/2019,4,2/3,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLE 350 d Coupe 4M AMG-Pano-NightP-Airm-AHK,89.350 € (Brutto),50 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,12/2020,5,4/5,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLE 350 d Coupe 4M AMG-Pano-NightP-Airm-AHK,89.350 € (Brutto),50 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,12/2020,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz S 500 cabriolet AMG PLUS-ExclusivPak-NightVision,93.500 €,37.500 km,4.663 cm³,335 kW (455 PS),Benzin,Automatik,-1,02/2018,4,2/3,Euro6,Cabrio / Roadster,-1,Unfallfrei
Mercedes-Benz AMG GT S,89.999 € (Brutto),21.900 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,03/2015,2,2/3,Euro6,Sportwagen / Coupé,2,Unfallfrei
"Mercedes-Benz E 63 AMG S 4M+ Fahrass..COM.20"".Pano.Carbon.Perf",88.214 € (Brutto),31.806 km,3.982 cm³,450 kW (612 PS),"Benzin, E10-geeignet",Automatik,-1,10/2019,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
Mercedes-Benz EQV 300 AVANTG. Lang 360° Kamera Burmester MBUX,90.990 € (Brutto),3.000 km,-1,150 kW (204 PS),Elektro,Schaltgetriebe,-1,11/2020,6,4/5,-1,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 350 de 4M Coupé AMG*NightP*MBUX*AHK*EasyP*9G,86.849 € (Brutto),4.848 km,1.950 cm³,243 kW (330 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,09/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz G -Modell Station G 350 d,94.605 € (Brutto),29.700 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,-1,02/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz AMG GT 43*PERF.SPORTABGAS*WIDESCREEN*PANO*BURMES,94.980 €,1.976 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,06/2020,4,4/5,Euro6,Limousine,-1,-1
"Mercedes-Benz G 63 AMG*EDITION463*FOND-ENTERT.*21""LM*DESIGNO*",89.980 €,38.505 km,5.461 cm³,420 kW (571 PS),Benzin,Automatik,-1,03/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz AMG GTS *CARBON/ALCANTARA PAKET* *JUNGE STERNE*,91.650 €,57.000 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,05/2015,2,2/3,Euro6,Sportwagen / Coupé,-1,Unfallfrei
Mercedes-Benz G 63 AMG DESIGNO EXKLUSIV-PAKET SCHWARZ,94.990 € (Brutto),66.000 km,5.461 cm³,420 kW (571 PS),Benzin,Automatik,-1,11/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,2,-1
Mercedes-Benz SL 500 AMG Line COMAND/DISTRON/TW/SPUR/GLASDACH,87.193 € (Brutto),28.300 km,4.663 cm³,335 kW (455 PS),"Benzin, E10-geeignet",Automatik,-1,03/2018,2,2/3,Euro6,Cabrio / Roadster,2,Unfallfrei
Mercedes-Benz Marco Polo V 300 d 4Matic Küche Vollaussattung,87.000 €,50 km,1.950 cm³,176 kW (239 PS),Diesel,Automatik,-1,12/2020,4,4/5,Euro6d-TEMP,Van / Minibus,1,Unfallfrei
Mercedes-Benz G 350 d *Vollausstattung/Sensationeller Zustand*,85.000 € (Brutto),45.888 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,-1,09/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz S 400d Lang 4M/Standheiz/Kühlf/TV/Distroni/Pr.20,87.188 € (Brutto),26.775 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,01/2020,5,4/5,Euro6d-TEMP,"Limousine, Jahreswagen",1,Unfallfrei
Mercedes-Benz AMG GT 43 4M+PANORAMA/Night/Burmester/Distronic,92.327 € (Brutto),28.965 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,11/2019,5,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Jahreswagen",1,Unfallfrei
Mercedes-Benz S 560e Lang/AMG-Line/Distronic/Head-Up/Massage,92.328 € (Brutto),16.476 km,2.996 cm³,270 kW (367 PS),"Hybrid (Benzin/Elektro), Plug-in-Hybrid",Automatik,-1,05/2020,5,4/5,Euro6d-TEMP,"Limousine, Jahreswagen",1,Unfallfrei
Mercedes-Benz GLE 400 d 4M AMG Airmatic Webasto Fahrass NP105K,86.070 € (Brutto),13.809 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,2019,11/2019,5,4/5,Euro6d-TEMP,"SUV / Geländewagen / Pickup, Jahreswagen",1,Unfallfrei
Mercedes-Benz S 560 4M L FirstClass Executive Chauffeur Burm3D,91.815 € (Brutto),4.801 km,3.982 cm³,345 kW (469 PS),"Benzin, E10-geeignet",Automatik,-1,03/2020,4,4/5,Euro6d-TEMP,Limousine,1,-1
Mercedes-Benz S 400 d Lang AMG 4Matic Nav LED Head-Up Panorama,86.880 € (Brutto),17.300 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,2019,03/2019,5,4/5,Euro6,Limousine,1,-1
"Mercedes-Benz GLS 400 d 4M AMG,360°,MEMORY,Augmented,AHK,DAB",90.090 € (Brutto),8.501 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,09/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 63 AMG 4M Perf-Abgas WideScreen Multibeam 9G,86.900 € (Brutto),8.500 km,3.982 cm³,350 kW (476 PS),Benzin,Automatik,-1,09/2020,-1,4/5,Euro6d,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 500 L Hybrid AMG Paket Panorama/ 360° Kamera,89.950 €,19.000 km,2.999 cm³,336 kW (457 PS),Benzin,Automatik,-1,04/2018,4,4/5,Euro6d-TEMP,Limousine,1,-1
Mercedes-Benz GLE 400 d Coupe 4M AMG 9G PANO WIDESR 360° MBUX,89.900 € (Brutto),1.100 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,05/2020,5,4/5,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLE 450 4M AMG Night+360+LED+SDHZ+Pano+AHK+7Sitz,90.275 € (Brutto),4.000 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,11/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz G 500 Standhzg/AHK/RüKa/Distronic/Comand/Harman,91.189 € (Brutto),45.550 km,3.982 cm³,310 kW (421 PS),Benzin,Automatik,-1,05/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLE 350 d 4M Coupé AMG Night+MBUX+360°+M-LED+SHZ,90.685 € (Brutto),5.673 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,08/2020,5,4/5,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,-1
Mercedes-Benz GLE 350 d 4M AMG Night+E-Aktiv+7-Sitz+NP111.300,92.121 € (Brutto),10.094 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,08/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 450 4M AMG Night+MBUX+360°+M-LED+Pano+Standh,86.669 € (Brutto),8.000 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,07/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz GLE 400 d 4M AMG MBUX+360°+M-LED+Pano+Memory+22""",88.685 € (Brutto),18.081 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,05/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz C 63 AMG S Coupé Night+Comand+360°+Multibea+Pano,91.701 € (Brutto),7.659 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,05/2020,4,2/3,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 350 de 4M AMG Night+360+M-LED+AHK+Distoni+20,85.094 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,11/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 400 d 4M AMG Night+360+M-LED+Pano+AHK+Airmat,91.281 € (Brutto),8.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,-1
Mercedes-Benz G 350 d/AMG/BiXenon/Glasd/Harman/Navi/Kamera/AH,90.173 € (Brutto),37.487 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,-1,02/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
