carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz GLA 200 AMG LINE DESIGNO RED PANORAMA *MY* 2021,53.890 € (Brutto),2 km,1.332 cm³,120 kW (163 PS),"Benzin, E10-geeignet",Automatik,-1,11/2020,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz CLA 200 AMG LINE PANO MEMORY KEYLESS *MY*2021,51.900 € (Brutto),2 km,1.332 cm³,120 kW (163 PS),"Benzin, E10-geeignet",Automatik,-1,11/2020,5,4/5,Euro6d-TEMP,Sportwagen / Coupé,-1,Unfallfrei
Mercedes-Benz CLS 63S AMG 4MATIC JUNGE STERNE 08/21 CARB...,52.999 €,59.790 km,-1,430 kW (585 PS),Benzin,Automatik,-1,02/2014,-1,-1,-1,Andere,-1,-1
Mercedes-Benz S 350d AMG/LANG/4Matic/FondTV/Chauffeur/VOLL,53.250 € (Brutto),82.500 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,2015,04/2016,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz Cabrio G 300/320 TD 4x4 Klima TOP Zustand,52.500 €,140.500 km,2.996 cm³,130 kW (177 PS),Diesel,Automatik,2000,11/2000,4,2/3,Euro3,Cabrio / Roadster,5,-1
Mercedes-Benz E 220 d Cp. AMG WideScreen 360° Pano Multibeam,50.000 €,34.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,05/2019,4,2/3,Euro6,Sportwagen / Coupé,2,Unfallfrei
Mercedes-Benz S -Klasse Lim. S 350 L BlueTEC / d 4Matic AMG,53.100 € (Brutto),62.150 km,2.987 cm³,190 kW (258 PS),Diesel,Automatik,-1,08/2015,5,4/5,Euro6,Limousine,2,Unfallfrei
Mercedes-Benz Mercedes G-Klasse V8 (G500) Brabus **TAUSC...,51.550 €,178.000 km,-1,-1,Benzin,Automatik,-1,12/2002,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
Mercedes-Benz E 300 d T AMG line Burmester/Memory/P.dach/360Ka,50.990 € (Brutto),20.513 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,06/2019,5,4/5,Euro6d-TEMP,Kombi,1,Unfallfrei
Mercedes-Benz Mercedes G 500 / Standheizung / Designo / ...,51.900 €,138.500 km,-1,285 kW (387 PS),Benzin,Automatik,-1,05/2011,-1,-1,-1,SUV / Geländewagen / Pickup,-1,-1
"Mercedes-Benz S 500 4M AMG Styling+20"" AMG-Scheckheft",53.243 € (Brutto),229.661 km,4.663 cm³,335 kW (455 PS),Benzin,-1,-1,02/2015,4,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
"Mercedes-Benz S 500 LANG 4M AMG FONDTV,SPORTABGAS,STANDHEIZUNG",51.880 € (Brutto),86.870 km,4.663 cm³,335 kW (455 PS),Benzin,Automatik,-1,06/2016,5,4/5,Euro6,Limousine,1,-1
Mercedes-Benz Mercedes Benz C63 Amg W204 PPackagePlus *L...,52.800 €,42.000 km,-1,358 kW (487 PS),Benzin,Automatik,-1,10/2012,-1,-1,-1,Limousine,-1,-1
Mercedes-Benz GLC 220 d 4MATIC Off-Roader AMG+Distronic+360°,51.750 € (Brutto),23.800 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,01/2020,-1,4/5,-1,SUV / Geländewagen / Pickup,-1,Unfallfrei
"Mercedes-Benz GLC 300 d 4M AMG,Distr,360°,Mem.,Pano,AHK,20Zoll",53.788 € (Brutto),19.330 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,08/2019,5,4/5,Euro6d,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz S 350 d L Fondent FirstClass 360° Pano Distr.,51.283 € (Brutto),41.345 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,11/2017,5,4/5,Euro6,Limousine,1,Unfallfrei
Mercedes-Benz E 43 AMG T 4MATIC Distronic/PanoDach/360°/Navi/,54.890 € (Brutto),29.920 km,2.996 cm³,295 kW (401 PS),Benzin,Automatik,-1,02/2018,5,4/5,Euro6,Kombi,2,-1
Mercedes-Benz GLE 400 4MATIC AMG-Line Schiebed/LED/Distronic,50.770 € (Brutto),45.240 km,2.996 cm³,245 kW (333 PS),Benzin,Automatik,-1,02/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLE 400 4MATIC AMG-Line Schiebed/LED/Distronic,50.770 € (Brutto),45.240 km,2.996 cm³,245 kW (333 PS),Benzin,Automatik,-1,02/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLE 400 4MATIC AMG-Line Distronic/Totwinkel/SD,50.850 € (Brutto),44.480 km,2.996 cm³,245 kW (333 PS),Benzin,Automatik,-1,05/2016,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz E 200 Cabrio AVANTGARDE Night+Navi+LED+Totwinkel,51.879 € (Brutto),4.000 km,1.991 cm³,145 kW (197 PS),"Benzin, E10-geeignet",Automatik,-1,10/2020,4,2/3,Euro6,"Cabrio / Roadster, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 220 d 4M AMG Night+MBUX+360°+M-LED+Fahrassis,53.620 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 220 d 4M AMG Night+MBUX+RüKam+LED+Totwinkel,50.499 € (Brutto),4.924 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,09/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 220 d 4M AMG MBUX+360°+LED+Pano+AHK+Totwi+20,53.031 € (Brutto),8.460 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,08/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz C 300 de T AMG Comand+360°+Multibeam+Pano+HUD+18,54.390 € (Brutto),8.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,07/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz CLS 400d 4M Edition 1 AMG-Line *MB-Garantie*,52.850 €,86.300 km,2.925 cm³,250 kW (340 PS),Diesel,Automatik,-1,07/2018,4,4/5,Euro6d-TEMP,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz GLC 300 d 4M AMG MBUX+360°+LED+Distr+AHK+Smartph,53.990 € (Brutto),18.024 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,05/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 200 Cabrio 4M AMG Night+Navi+LED+Spurp+Widescr,53.867 € (Brutto),17.953 km,1.991 cm³,145 kW (197 PS),Benzin,Automatik,-1,05/2020,4,2/3,Euro6,"Cabrio / Roadster, Vorführfahrzeug",1,-1
Mercedes-Benz GLC 43 AMG 4M Stdhzg Pano Burmester COMAND TV 9G,50.154 € (Brutto),27.524 km,2.996 cm³,270 kW (367 PS),"Benzin, E10-geeignet",Automatik,-1,09/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz V 250 d EDITION Lang Comand Distronic Standheiz.,51.190 € (Brutto),8.289 km,2.143 cm³,140 kW (190 PS),Diesel,Automatik,-1,04/2019,6,4/5,Euro6c,Van / Minibus,1,Unfallfrei
Mercedes-Benz C 220 d 4M T AMG Night+Comand+RüKam+LED+Pano+AHK,53.960 € (Brutto),4.000 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 220 d 4M AMG Night+MBUX+360°+LED+Pano+AHK+20,54.466 € (Brutto),5.546 km,1.950 cm³,143 kW (194 PS),Diesel,Automatik,-1,07/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz C 300 T AMG Comand+360°+M-LED+Fahrassistent+Pano,53.849 € (Brutto),5.185 km,1.991 cm³,190 kW (258 PS),"Benzin, E10-geeignet",Automatik,-1,08/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 200 Cabrio AMG Night+Comand+RüKam+M-LED+DAB+19,53.868 € (Brutto),6.361 km,1.991 cm³,145 kW (197 PS),"Benzin, E10-geeignet",Automatik,-1,06/2020,4,2/3,Euro6,"Cabrio / Roadster, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz C 300 T AMG COMAND+360°+M-LED+Distronic+AHK+18""",50.099 € (Brutto),8.000 km,1.991 cm³,190 kW (258 PS),Benzin,Automatik,-1,08/2020,5,4/5,Euro6,"Kombi, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz V 250 d EDITION Lang,53.901 € (Brutto),7.000 km,1.950 cm³,140 kW (190 PS),Diesel,Automatik,-1,11/2020,6,4/5,Euro6d-TEMP,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz Sprinter 319 CDI Kasten Hoch Kamera Navi AHK3,5t",50.460 € (Brutto),5.000 km,2.987 cm³,140 kW (190 PS),Diesel,Automatik,-1,10/2020,3,4/5,Euro6,"Van / Minibus, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 d 4M AMG MBUX+RüKam+LED+Distroni+El.Heck,54.699 € (Brutto),4.000 km,1.950 cm³,180 kW (245 PS),Diesel,Automatik,-1,10/2020,5,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz E 300 de T AMG line Burmester/Memory/Comand/P.da,51.780 € (Brutto),23.598 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,10/2019,5,4/5,Euro6d-TEMP,"Kombi, Vorführfahrzeug",1,-1
"Mercedes-Benz GLE43 AMG 4M *NiGHT*KAMERA*SPUR*H&K*PANORAMA*22""",53.850 € (Brutto),82.000 km,2.996 cm³,270 kW (367 PS),Benzin,Automatik,-1,04/2017,5,4/5,Euro6,Sportwagen / Coupé,2,-1
"Mercedes-Benz C63 AMG *KAMERA*NiGHT*SPORTABGAS*PANORAMA*20""AMG",51.850 €,62.000 km,3.982 cm³,350 kW (476 PS),Benzin,Automatik,-1,05/2016,4,2/3,Euro6,Sportwagen / Coupé,-1,-1
